Protein ID,Log2 fold change
H26_vs_DksgA,-0.431119416
H26_vs_DksgA,0
H26_vs_DksgA,0.980145008
H26_vs_DksgA,0.464107022
H26_vs_DksgA,0.569744091
H26_vs_DksgA,0.187820971
H26_vs_DksgA,0.313374168
H26_vs_DksgA,-0.218146604
H26_vs_DksgA,-0.829312611
H26_vs_DksgA,0.156705748
H26_vs_DksgA,-0.305303247
H26_vs_DksgA,0.169461472
H26_vs_DksgA,-0.60824345
H26_vs_DksgA,-0.059823575
H26_vs_DksgA,-0.715481613
H26_vs_DksgA,-0.716341143
H26_vs_DksgA,0
H26_vs_DksgA,0.436946936
H26_vs_DksgA,0.545703303
H26_vs_DksgA,0.436620951
H26_vs_DksgA,0.173863185
H26_vs_DksgA,-0.479592788
H26_vs_DksgA,-0.381521281
H26_vs_DksgA,0.050262639
H26_vs_DksgA,-0.965720101
H26_vs_DksgA,-1.296726116
H26_vs_DksgA,-0.862160396
H26_vs_DksgA,-0.583133912
H26_vs_DksgA,0.290793023
H26_vs_DksgA,-1.096360841
H26_vs_DksgA,-0.838620839
H26_vs_DksgA,-1.173594271
H26_vs_DksgA,0.24535016
H26_vs_DksgA,0.345593052
H26_vs_DksgA,-0.863050589
H26_vs_DksgA,-0.512895837
H26_vs_DksgA,-0.849697322
H26_vs_DksgA,-0.805472503
H26_vs_DksgA,-0.020884387
H26_vs_DksgA,0.429858716
H26_vs_DksgA,-0.291422211
H26_vs_DksgA,0.720502082
H26_vs_DksgA,0.477332109
H26_vs_DksgA,-0.607723626
H26_vs_DksgA,0.201325003
H26_vs_DksgA,-0.463288547
H26_vs_DksgA,-0.189294601
H26_vs_DksgA,-0.308439779
H26_vs_DksgA,0
H26_vs_DksgA,0
H26_vs_DksgA,-0.242278427
H26_vs_DksgA,0.06895072
H26_vs_DksgA,-0.094595589
H26_vs_DksgA,0.867894753
H26_vs_DksgA,0
H26_vs_DksgA,-0.100259172
H26_vs_DksgA,0
H26_vs_DksgA,0
H26_vs_DksgA,-1.02694831
H26_vs_DksgA,-0.808014024
H26_vs_DksgA,-0.506353845
H26_vs_DksgA,-0.55361831
H26_vs_DksgA,3.114877371
H26_vs_DksgA,2.316615309
H26_vs_DksgA,0.698437165
H26_vs_DksgA,0
H26_vs_DksgA,0.166475899
H26_vs_DksgA,0
H26_vs_DksgA,0.375681426
H26_vs_DksgA,-0.094248377
H26_vs_DksgA,-0.497887867
H26_vs_DksgA,-0.266357466
H26_vs_DksgA,0
H26_vs_DksgA,0.197406075
H26_vs_DksgA,-0.513497081
H26_vs_DksgA,-0.288173745
H26_vs_DksgA,0.074947996
H26_vs_DksgA,-0.413521802
H26_vs_DksgA,0.520636593
H26_vs_DksgA,0.140949417
H26_vs_DksgA,0.326380174
H26_vs_DksgA,1.18783675
H26_vs_DksgA,-0.026028682
H26_vs_DksgA,0
H26_vs_DksgA,0.04570238
H26_vs_DksgA,0.062512563
H26_vs_DksgA,-0.380534355
H26_vs_DksgA,0
