Protein ID,Log2 fold change
H26_vs_DksgA_PEP,0.71257996
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.67777785
H26_vs_DksgA_PEP,0.57672875
H26_vs_DksgA_PEP,0.79907961
H26_vs_DksgA_PEP,0.61283241
H26_vs_DksgA_PEP,0.66651187
H26_vs_DksgA_PEP,0.45817658
H26_vs_DksgA_PEP,0.78271642
H26_vs_DksgA_PEP,0.64757437
H26_vs_DksgA_PEP,0.74859343
H26_vs_DksgA_PEP,0.03875052
H26_vs_DksgA_PEP,0.76230519
H26_vs_DksgA_PEP,0.00329913
H26_vs_DksgA_PEP,0.57101083
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.70208994
H26_vs_DksgA_PEP,0.21597518
H26_vs_DksgA_PEP,0.21597518
H26_vs_DksgA_PEP,0.77894427
H26_vs_DksgA_PEP,0.58273955
H26_vs_DksgA_PEP,0.40962739
H26_vs_DksgA_PEP,0.87094558
H26_vs_DksgA_PEP,0.04111302
H26_vs_DksgA_PEP,0.4286809
H26_vs_DksgA_PEP,0.0179859
H26_vs_DksgA_PEP,0.46554939
H26_vs_DksgA_PEP,0.5560835
H26_vs_DksgA_PEP,0.02603432
H26_vs_DksgA_PEP,0.43096535
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.68850834
H26_vs_DksgA_PEP,0.15861812
H26_vs_DksgA_PEP,0.22717723
H26_vs_DksgA_PEP,0.00247557
H26_vs_DksgA_PEP,0.69562902
H26_vs_DksgA_PEP,0.53884831
H26_vs_DksgA_PEP,0.71638796
H26_vs_DksgA_PEP,0.6595686
H26_vs_DksgA_PEP,0.69704085
H26_vs_DksgA_PEP,0.68620783
H26_vs_DksgA_PEP,0.17668982
H26_vs_DksgA_PEP,0.64507895
H26_vs_DksgA_PEP,0.75786255
H26_vs_DksgA_PEP,0.66078297
H26_vs_DksgA_PEP,0.72948216
H26_vs_DksgA_PEP,0.53922862
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.70791513
H26_vs_DksgA_PEP,0.70598116
H26_vs_DksgA_PEP,0.84981113
H26_vs_DksgA_PEP,0.46035436
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.73680536
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.62984833
H26_vs_DksgA_PEP,0.02603432
H26_vs_DksgA_PEP,0.00985858
H26_vs_DksgA_PEP,0.61977042
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.29375492
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.79544467
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.72471378
H26_vs_DksgA_PEP,0.74042463
H26_vs_DksgA_PEP,0.64850705
H26_vs_DksgA_PEP,0.61647793
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.73887694
H26_vs_DksgA_PEP,0.0450354
H26_vs_DksgA_PEP,0.67009692
H26_vs_DksgA_PEP,0.73913524
H26_vs_DksgA_PEP,0.64881756
H26_vs_DksgA_PEP,0.66380626
H26_vs_DksgA_PEP,0.83737634
H26_vs_DksgA_PEP,0.68447539
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.71203349
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.68215603
H26_vs_DksgA_PEP,0.76597467
H26_vs_DksgA_PEP,0.0450354
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.74273662
H26_vs_DksgA_PEP,0.70736335
H26_vs_DksgA_PEP,0.67247284
H26_vs_DksgA_PEP,1
