Protein ID,Log2 fold change
H53_EL_RM_vs_H53_LL_RM,1.044069021
H53_EL_RM_vs_H53_LL_RM,-0.027886377
H53_EL_RM_vs_H53_LL_RM,1.655653558
H53_EL_RM_vs_H53_LL_RM,1.899963768
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.330391339
H53_EL_RM_vs_H53_LL_RM,1.010704426
H53_EL_RM_vs_H53_LL_RM,0.349269539
H53_EL_RM_vs_H53_LL_RM,1.697345287
H53_EL_RM_vs_H53_LL_RM,-0.684344036
H53_EL_RM_vs_H53_LL_RM,-0.622225164
H53_EL_RM_vs_H53_LL_RM,-0.576744282
H53_EL_RM_vs_H53_LL_RM,0.854048684
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.64551465
H53_EL_RM_vs_H53_LL_RM,1.683210951
H53_EL_RM_vs_H53_LL_RM,1.88552986
H53_EL_RM_vs_H53_LL_RM,0.263232865
H53_EL_RM_vs_H53_LL_RM,-0.767334317
H53_EL_RM_vs_H53_LL_RM,0.518425682
H53_EL_RM_vs_H53_LL_RM,0.681419808
H53_EL_RM_vs_H53_LL_RM,0.552440669
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,-0.386308971
H53_EL_RM_vs_H53_LL_RM,-1.261399375
H53_EL_RM_vs_H53_LL_RM,0.137864845
H53_EL_RM_vs_H53_LL_RM,0.446681674
H53_EL_RM_vs_H53_LL_RM,-1.561874871
H53_EL_RM_vs_H53_LL_RM,-0.047574976
H53_EL_RM_vs_H53_LL_RM,3.482190663
H53_EL_RM_vs_H53_LL_RM,0.928889286
H53_EL_RM_vs_H53_LL_RM,0.723599958
H53_EL_RM_vs_H53_LL_RM,1.862707875
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.659062246
H53_EL_RM_vs_H53_LL_RM,1.785874434
H53_EL_RM_vs_H53_LL_RM,-0.099516053
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.745838263
H53_EL_RM_vs_H53_LL_RM,0.832495507
H53_EL_RM_vs_H53_LL_RM,1.163712085
H53_EL_RM_vs_H53_LL_RM,0.720406659
H53_EL_RM_vs_H53_LL_RM,0.331415253
H53_EL_RM_vs_H53_LL_RM,1.520468945
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,-0.220074234
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.729900424
H53_EL_RM_vs_H53_LL_RM,0.524232784
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.673094352
H53_EL_RM_vs_H53_LL_RM,0.761045359
H53_EL_RM_vs_H53_LL_RM,0.120209238
H53_EL_RM_vs_H53_LL_RM,3.13880998
H53_EL_RM_vs_H53_LL_RM,-0.774895072
H53_EL_RM_vs_H53_LL_RM,-0.57436507
H53_EL_RM_vs_H53_LL_RM,-0.110984753
H53_EL_RM_vs_H53_LL_RM,2.481399036
H53_EL_RM_vs_H53_LL_RM,-0.638704758
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.071546768
H53_EL_RM_vs_H53_LL_RM,-0.235628002
H53_EL_RM_vs_H53_LL_RM,0.380023712
H53_EL_RM_vs_H53_LL_RM,0.721664071
H53_EL_RM_vs_H53_LL_RM,-0.067402037
H53_EL_RM_vs_H53_LL_RM,0.013938937
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,-0.814793611
H53_EL_RM_vs_H53_LL_RM,0.016269059
H53_EL_RM_vs_H53_LL_RM,0.167159375
H53_EL_RM_vs_H53_LL_RM,-2.443702608
H53_EL_RM_vs_H53_LL_RM,0.481007086
H53_EL_RM_vs_H53_LL_RM,0.572436379
H53_EL_RM_vs_H53_LL_RM,0.157239908
H53_EL_RM_vs_H53_LL_RM,0.677890361
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.551869348
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.495878112
H53_EL_RM_vs_H53_LL_RM,1.105260615
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.384700367
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.927059016
H53_EL_RM_vs_H53_LL_RM,0.753400763
H53_EL_RM_vs_H53_LL_RM,1.084639041
H53_EL_RM_vs_H53_LL_RM,0.844288776
H53_EL_RM_vs_H53_LL_RM,-2.15959742
H53_EL_RM_vs_H53_LL_RM,-0.679774765
H53_EL_RM_vs_H53_LL_RM,-0.673235904
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.375832348
H53_EL_RM_vs_H53_LL_RM,-1.228492631
H53_EL_RM_vs_H53_LL_RM,-1.189445094
H53_EL_RM_vs_H53_LL_RM,-0.757623415
H53_EL_RM_vs_H53_LL_RM,0.545210387
H53_EL_RM_vs_H53_LL_RM,-1.582964457
H53_EL_RM_vs_H53_LL_RM,-1.135445179
H53_EL_RM_vs_H53_LL_RM,-0.02587476
H53_EL_RM_vs_H53_LL_RM,-1.511424648
H53_EL_RM_vs_H53_LL_RM,-1.159412134
H53_EL_RM_vs_H53_LL_RM,0.061461472
H53_EL_RM_vs_H53_LL_RM,1.186559393
H53_EL_RM_vs_H53_LL_RM,-0.214284594
H53_EL_RM_vs_H53_LL_RM,3.178444446
H53_EL_RM_vs_H53_LL_RM,0.943951007
H53_EL_RM_vs_H53_LL_RM,0.823152637
H53_EL_RM_vs_H53_LL_RM,0.40833088
H53_EL_RM_vs_H53_LL_RM,0.962903658
H53_EL_RM_vs_H53_LL_RM,0.40335608
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,2.600746094
H53_EL_RM_vs_H53_LL_RM,3.719872728
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,4.621178918
H53_EL_RM_vs_H53_LL_RM,0.24999988
H53_EL_RM_vs_H53_LL_RM,1.251754934
H53_EL_RM_vs_H53_LL_RM,1.562948845
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,-0.193999555
H53_EL_RM_vs_H53_LL_RM,0.12037289
H53_EL_RM_vs_H53_LL_RM,0.758999744
H53_EL_RM_vs_H53_LL_RM,-0.85643741
H53_EL_RM_vs_H53_LL_RM,0.200565017
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.936228368
H53_EL_RM_vs_H53_LL_RM,-0.130850648
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.066845416
H53_EL_RM_vs_H53_LL_RM,0.635076953
H53_EL_RM_vs_H53_LL_RM,-0.030401717
H53_EL_RM_vs_H53_LL_RM,0.8324704
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.567601192
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.909318933
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.169795276
H53_EL_RM_vs_H53_LL_RM,0.356921489
H53_EL_RM_vs_H53_LL_RM,1.340329035
H53_EL_RM_vs_H53_LL_RM,0.253240196
H53_EL_RM_vs_H53_LL_RM,0.452862884
H53_EL_RM_vs_H53_LL_RM,0.608885746
H53_EL_RM_vs_H53_LL_RM,0.529864144
H53_EL_RM_vs_H53_LL_RM,1.385718291
