Protein ID,Log2 fold change
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.518566779
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.006408084
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.317218704
H53_EL_RM_vs_H53_LL_RM_PEP,0.172113632
H53_EL_RM_vs_H53_LL_RM_PEP,0.402617842
H53_EL_RM_vs_H53_LL_RM_PEP,0.004367853
H53_EL_RM_vs_H53_LL_RM_PEP,0.001455334
H53_EL_RM_vs_H53_LL_RM_PEP,0.265992526
H53_EL_RM_vs_H53_LL_RM_PEP,0.274164796
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.059586073
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.43833581
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.441630254
H53_EL_RM_vs_H53_LL_RM_PEP,0.399358429
H53_EL_RM_vs_H53_LL_RM_PEP,0.295943709
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.253456221
H53_EL_RM_vs_H53_LL_RM_PEP,0.230690568
H53_EL_RM_vs_H53_LL_RM_PEP,0.490403365
H53_EL_RM_vs_H53_LL_RM_PEP,0.234734077
H53_EL_RM_vs_H53_LL_RM_PEP,0.094699408
H53_EL_RM_vs_H53_LL_RM_PEP,0.759759566
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.090216133
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.441959861
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.023359524
H53_EL_RM_vs_H53_LL_RM_PEP,0.086633663
H53_EL_RM_vs_H53_LL_RM_PEP,0.175172541
H53_EL_RM_vs_H53_LL_RM_PEP,0.430112665
H53_EL_RM_vs_H53_LL_RM_PEP,0.114795369
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.434057466
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.008741259
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.417648842
H53_EL_RM_vs_H53_LL_RM_PEP,0.439323831
H53_EL_RM_vs_H53_LL_RM_PEP,0.551357963
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.227893908
H53_EL_RM_vs_H53_LL_RM_PEP,0.177315358
H53_EL_RM_vs_H53_LL_RM_PEP,0.636532859
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.37080099
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.564283424
H53_EL_RM_vs_H53_LL_RM_PEP,0.468757065
H53_EL_RM_vs_H53_LL_RM_PEP,0.38699924
H53_EL_RM_vs_H53_LL_RM_PEP,0.344391724
H53_EL_RM_vs_H53_LL_RM_PEP,0.76011846
H53_EL_RM_vs_H53_LL_RM_PEP,0.459471664
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.423547452
H53_EL_RM_vs_H53_LL_RM_PEP,0.694645104
H53_EL_RM_vs_H53_LL_RM_PEP,0.624393988
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.444927667
H53_EL_RM_vs_H53_LL_RM_PEP,0.000290921
H53_EL_RM_vs_H53_LL_RM_PEP,0.571787172
H53_EL_RM_vs_H53_LL_RM_PEP,0.398381174
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.031866601
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.206834532
H53_EL_RM_vs_H53_LL_RM_PEP,0.205290976
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,1
H53_EL_RM_vs_H53_LL_RM_PEP,0.451531418
H53_EL_RM_vs_H53_LL_RM_PEP,1
