"Protein.ID","H26_Exponential_vs_H26_Stationary","H26_Exponential_vs_HVABI_Exponential","H26_Exponential_vs_HVLON3_Exponential","H26_Stationary_vs_HVABI_Stationary","H26_Stationary_vs_HVLON3_Stationary"
"1","HVO_C0077 [D4H0F9] (soxA2) sarcosine oxidase",0.734819323594229,-1.35298843162884,-0.272949037748862,-1.53855998941111,-0.840119862347175
"2","HVO_C0075 [D4H0F7] (dppA16) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.29257314313488,0.653708789696364,-0.0558527953835102,1.55821714567366,0.583695422041879
"3","HVO_C0074 [D4H0F6] (dppDF16) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.104569553105372,0.29596451039221,0.214025351960528,0.935234707587967,0.78264151775315
"4","HVO_C0073 [D4H0F5] (dppB16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1.64367187501764,2.40706509181951,23.3223045849101,2.0270222992582,2.47968138373607
"5","HVO_C0072 [D4H0F4] (dppC16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",-1.30601204389989,0.875719311542238,0.172562167093641,2.98931327445194,2.74852707502396
"6","HVO_C0069 [D4H0F1] GFO family oxidoreductase",0.973779098692277,-0.342650356426225,0.0668270736561317,-1.2051363304229,-1.08262044182209
"7","HVO_C0067 [D4H0E9] FAD-dependent oxidoreductase",0.72705583071829,-1.96389661303728,-0.194765925310388,-2.67705333201802,-2.64876577248521
"8","HVO_C0057 [D4H0E4] (orc8) Orc1-type DNA replication protein",1.09477682722354,1.99423715427395,-0.444859092498022,2.19885816526445,3.19907189614383
"9","HVO_C0054 [D4H0E1] hypothetical protein",-1.29838915406785,1.61925494515851,-1.07430794977422,0.736142897684506,0.474166153616787
"10","HVO_C0050 [D4H0D8] conserved hypothetical protein",0.963218317592218,-0.405794896077335,1.18645223026165,-1.93123234950821,-2.55856591527651
"11","HVO_C0044 [D4H0D2] PLD domain protein",0,0,0,2.1049786057329,1.02053009823392
"12","HVO_C0043 [D4H0D1] conserved hypothetical protein",1.7054781339025,-1.19370261966271,-0.274408402552778,-1.12305933054135,-1.3150515625873
"13","HVO_C0042 [D4H0D0] helicase domain protein",0.721739763156632,-0.675299908194606,-0.447132704859355,-0.813641322098103,-0.675174345373994
"14","HVO_C0040 [D4H0C8] site-specific DNA-methyltransferase (cytosine-specific)",1.23385789265267,-1.59950617567703,0.079787583880051,-2.67196083382905,-0.0481144449769777
"15","HVO_C0034 [D4H0C2] hypothetical protein",8.82594319289779,0.25982617876589,10.1414238130508,0,0
"16","HVO_C0017 [D4H0A7] (parA1) ParA domain protein",0,0,0,0,0
"17","HVO_C0009 [D4H0A0] hypothetical protein",0,0,0,0,0
"18","HVO_C0001 [D4H092] (orc10) Orc1-type DNA replication protein",0.745907673025794,-1.2060806333403,-0.272250489129202,-1.88768625931137,-2.00824869513403
"19","HVO_B0382 [D4GQ28] (tbp3) TATA-binding transcription initiation factor",1.22817831339065,-0.135232994480128,-0.0874188257808671,0.341703227056076,-0.392576591774665
"20","HVO_B0376 [D4GQ22] probable oxidoreductase (aldo-keto reductase family protein)",0.115553031428374,0.405857791007079,-0.24985982135546,0.629928197767914,0.377016762821725
"21","HVO_B0375 [D4GQ21] Spo0M family protein",0.733236505439032,-2.40713878628039,1.13347411838277,-2.70284900133584,-0.648295508699889
"22","HVO_B0371 [D4GQ18] (aldH1) aldehyde dehydrogenase",-0.530023914737279,-0.10829408994742,-0.113735781803457,1.2347925050694,0.0615375051738706
"23","HVO_B0369 [D4GQ16] ABC-type transport system periplasmic substrate-binding protein (probable substrate molybdate)",-1.99595094425112,0.776546071538174,-0.659941452457632,0.863621509101208,0.26183198194127
"24","HVO_B0365 [D4GQ12] (dmsC) dimethylsulfoxide reductase subunit C",-3.33161619142032,-1.86146960313919,-1.57315460158427,2.75899143537738,2.85699382231595
"25","HVO_B0364 [D4GQ11] (dmsB) dimethylsulfoxide reductase subunit B",32.6322645651485,0.860158454110016,1.54696582562231,0,0
"26","HVO_B0363 [D4GQ10] (dmsA) dimethylsulfoxide reductase subunit A",-1.83965181660725,1.95222250111582,0.31529511839224,2.12215175273317,1.79242323664669
"27","HVO_B0359 [D4GQ06] YidE family protein",-0.982601594659368,1.62041860835004,-1.24881686390537,1.95334311522157,1.62289463309458
"28","HVO_B0358 [D4GQ05] conserved hypothetical protein",0,0,0,0,0
