Protein_ID,H26_Exponential_vs_H26_Stationary,H26_Exponential_vs_H26_Stationary_PEP,H26_Exponential_vs_HVABI_Exponential,H26_Exponential_vs_HVABI_Exponential_PEP,H26_Exponential_vs_HVLON3_Exponential,H26_Exponential_vs_HVLON3_Exponential_PEP,H26_Stationary_vs_HVABI_Stationary,H26_Stationary_vs_HVABI_Stationary_PEP,H26_Stationary_vs_HVLON3_Stationary,H26_Stationary_vs_HVLON3_Stationary_PEP,Row_Number
HVO_C0077 [D4H0F9] (soxA2) sarcosine oxidase,0.734819324,0.718025974,-1.352988432,0.00083036,-0.272949038,0.912628142,-1.538559989,0.203842517,-0.840119862,0.51278972,2
HVO_C0075 [D4H0F7] (dppA16) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),0.292573143,0.774860998,0.65370879,0.404335278,-0.055852795,0.941834045,1.558217146,0.000375006,0.583695422,0.481860921,3
HVO_C0074 [D4H0F6] (dppDF16) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0.104569553,0.799518929,0.29596451,0.738665703,0.214025352,0.93322613,0.935234708,0.018718194,0.782641518,0.186846316,4
HVO_C0073 [D4H0F5] (dppB16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),1.643671875,0.019315213,2.407065092,0.577739819,23.32230458,1,2.027022299,0.459509472,2.479681384,1,5
HVO_C0072 [D4H0F4] (dppC16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),-1.306012044,0.680241517,0.875719312,0.628897377,0.172562167,0.910464928,2.989313274,0.000375006,2.748527075,0.000549208,6
HVO_C0069 [D4H0F1] GFO family oxidoreductase,0.973779099,0.617856236,-0.342650356,0.659609732,0.066827074,0.945617034,-1.20513633,0.006372961,-1.082620442,0.120400854,7
HVO_C0067 [D4H0E9] FAD-dependent oxidoreductase,0.727055831,0.724006844,-1.963896613,0.00083036,-0.194765925,0.912841608,-2.677053332,0.302329322,-2.648765772,0.513489811,8
HVO_C0057 [D4H0E4] (orc8) Orc1-type DNA replication protein,1.094776827,0.716652761,1.994237154,1,-0.444859092,0.912628142,2.198858165,1,3.199071896,1,9
HVO_C0054 [D4H0E1] hypothetical protein,-1.298389154,0.021429452,1.619254945,0.098533089,-1.07430795,0.837559292,0.736142898,0.031774525,0.474166154,0.591548273,10
HVO_C0050 [D4H0D8] conserved hypothetical protein,0.963218318,0.708865452,-0.405794896,0.663849874,1.18645223,0.886104143,-1.93123235,0.000375131,-2.558565915,0.570621392,11
HVO_C0044 [D4H0D2] PLD domain protein,0,1,0,1,0,1,2.104978606,0.000375006,1.020530098,1,12
HVO_C0043 [D4H0D1] conserved hypothetical protein,1.705478134,0.551447635,-1.19370262,0.591774829,-0.274408403,0.91358472,-1.123059331,0.113344615,-1.315051563,0.173087237,13
HVO_C0042 [D4H0D0] helicase domain protein,0.721739763,0.134156173,-0.675299908,0.026981496,-0.447132705,0.430370169,-0.813641322,0.073300081,-0.675174345,0.025567191,14
HVO_C0040 [D4H0C8] site-specific DNA-methyltransferase (cytosine-specific),1.233857893,0.678416236,-1.599506176,0.565882815,0.079787584,0.913267006,-2.671960834,0.043678464,-0.048114445,0.620550056,15
HVO_C0034 [D4H0C2] hypothetical protein,8.825943193,1,0.259826179,0.674296105,10.14142381,1,0,1,0,1,16
HVO_C0017 [D4H0A7] (parA1) ParA domain protein,0,1,0,1,0,1,0,1,0,1,17
HVO_C0009 [D4H0A0] hypothetical protein,0,1,0,1,0,1,0,1,0,1,18
HVO_C0001 [D4H092] (orc10) Orc1-type DNA replication protein,0.745907673,0.744438052,-1.206080633,0.583045569,-0.272250489,0.931195173,-1.887686259,0.283020475,-2.008248695,0.277115801,19
HVO_B0382 [D4GQ28] (tbp3) TATA-binding transcription initiation factor,1.228178313,0.750742641,-0.135232994,0.733730083,-0.087418826,0.922136136,0.341703227,0.522860423,-0.392576592,0.638896932,20
HVO_B0376 [D4GQ22] probable oxidoreductase (aldo-keto reductase family protein),0.115553031,0.841487701,0.405857791,0.63976205,-0.249859821,0.869141299,0.629928198,0.261504363,0.377016763,0.580159256,21
HVO_B0375 [D4GQ21] Spo0M family protein,0.733236505,0.751242088,-2.407138786,0.308308047,1.133474118,0.788852519,-2.702849001,0.043678464,-0.648295509,0.543483103,22
HVO_B0371 [D4GQ18] (aldH1) aldehyde dehydrogenase,-0.530023915,0.730154806,-0.10829409,0.729796422,-0.113735782,0.941983194,1.234792505,0.067761009,0.061537505,0.599281761,23
HVO_B0369 [D4GQ16] ABC-type transport system periplasmic substrate-binding protein (probable substrate molybdate),-1.995950944,0.690422127,0.776546072,0.633398705,-0.659941452,0.89855995,0.863621509,0.001125298,0.261831982,0.544162178,24
HVO_B0365 [D4GQ12] (dmsC) dimethylsulfoxide reductase subunit C,-3.331616191,0.693364833,-1.861469603,0.626632018,-1.573154602,0.895910781,2.758991435,0.443946713,2.856993822,0.541443106,25
HVO_B0364 [D4GQ11] (dmsB) dimethylsulfoxide reductase subunit B,32.63226457,1,0.860158454,0.631152919,1.546965826,0.90065226,0,1,0,1,26
