"Protein.ID","H26_vs_DksgA_PEP","H26_vs_DksgA_KsgA_PEP","H26_vs_DksgA_ksgA_E84A_PEP"
"1","HVO_C0081 [D4H0G1] conserved hypothetical protein",0.712579957,0.324792411,0.092358782
"2","HVO_C0080 [D4H0G0] ISH16-type transposase ISHvo8",1,1,1
"3","HVO_C0077 [D4H0F9] (soxA2) sarcosine oxidase",0.000825727,0.000244843,0.000241787
"4","HVO_C0076 [D4H0F8] IclR family transcription regulator",0.677777847,1,1
"5","HVO_C0075 [D4H0F7] (dppA16) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.576728749,0.316256023,1
"6","HVO_C0074 [D4H0F6] (dppDF16) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.799079612,0.298722484,0.102237838
"7","HVO_C0069 [D4H0F1] GFO family oxidoreductase",0.612832405,0.000489893,0.410430754
"8","HVO_C0067 [D4H0E9] FAD-dependent oxidoreductase",0.666511865,0.385577826,1
"9","HVO_C0060 [D4H0E5] CopG domain protein",0.458176577,0.259258929,0.304193634
"10","HVO_C0057 [D4H0E4] (orc8) Orc1-type DNA replication protein",0.782716415,0.000244843,0.000241787
"11","HVO_C0056 [D4H0E3] conserved hypothetical protein",0.647574373,0.216805854,0.384825313
"12","HVO_C0054 [D4H0E1] hypothetical protein",0.748593425,0.249041941,0.136848414
"13","HVO_C0051 [D4H0D9] HTH domain protein",0.038750522,0.135642154,0.015324566
"14","HVO_C0050 [D4H0D8] conserved hypothetical protein",0.762305186,0.439894866,0.490932473
"15","HVO_C0046 [D4H0D4] conserved hypothetical protein<|>HVO_C0081 [D4H0G1] conserved hypothetical protein",0.003299131,0.000244843,0.000241787
"16","HVO_C0046 [D4H0D4] conserved hypothetical protein",0.571010833,0.34541177,0.105895499
"17","HVO_C0045 [D4H0D3] conserved hypothetical protein",1,1,1
"18","HVO_C0044 [D4H0D2] PLD domain protein",0.702089944,0.449791749,0.469656895
"19","HVO_C0043 [D4H0D1] conserved hypothetical protein",0.215975184,0.0098309,0.13390866
"20","HVO_C0042 [D4H0D0] helicase domain protein",0.215975184,0.000244843,0.000241787
"21","HVO_C0040 [D4H0C8] site-specific DNA-methyltransferase (cytosine-specific)",0.778944267,0.000244925,0.000483779
"22","HVO_C0038 [D4H0C6] conserved hypothetical protein",0.58273955,0.268366194,0.279444439
"23","HVO_C0018 [D4H0A8] conserved hypothetical protein",0.409627389,0.000489893,0.000241787
"24","HVO_C0017 [D4H0A7] (parA1) ParA domain protein",0.87094558,0.000244843,0.000241787
"25","HVO_C0012 [D4H0A3] conserved hypothetical protein",0.04111302,0.02945342,0.018508919
"26","HVO_C0007 [D4H098] conserved hypothetical protein",0.428680902,0.053165784,0.106418818
"27","HVO_C0006 [D4H097] UPF0395 family protein",0.017985904,0.290030225,0.360582359
