Protein ID,Log2 fold change
H26_Exponential_vs_H26_Stationary_PEP,0.718025974
H26_Exponential_vs_H26_Stationary_PEP,0.774860998
H26_Exponential_vs_H26_Stationary_PEP,0.799518929
H26_Exponential_vs_H26_Stationary_PEP,0.019315213
H26_Exponential_vs_H26_Stationary_PEP,0.680241517
H26_Exponential_vs_H26_Stationary_PEP,0.617856236
H26_Exponential_vs_H26_Stationary_PEP,0.724006844
H26_Exponential_vs_H26_Stationary_PEP,0.716652761
H26_Exponential_vs_H26_Stationary_PEP,0.021429452
H26_Exponential_vs_H26_Stationary_PEP,0.708865452
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,0.551447635
H26_Exponential_vs_H26_Stationary_PEP,0.134156173
H26_Exponential_vs_H26_Stationary_PEP,0.678416236
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,0.744438052
H26_Exponential_vs_H26_Stationary_PEP,0.750742641
H26_Exponential_vs_H26_Stationary_PEP,0.841487701
H26_Exponential_vs_H26_Stationary_PEP,0.751242088
H26_Exponential_vs_H26_Stationary_PEP,0.730154806
H26_Exponential_vs_H26_Stationary_PEP,0.690422127
H26_Exponential_vs_H26_Stationary_PEP,0.693364833
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,0.008648904
H26_Exponential_vs_H26_Stationary_PEP,0.698892951
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,0.364191004
H26_Exponential_vs_H26_Stationary_PEP,0.714167803
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,0.682661692
H26_Exponential_vs_H26_Stationary_PEP,0.704340016
H26_Exponential_vs_H26_Stationary_PEP,0.707174937
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,0.742652103
H26_Exponential_vs_H26_Stationary_PEP,0.710268285
H26_Exponential_vs_H26_Stationary_PEP,0.737498624
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,0.516979166
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,0.701483134
H26_Exponential_vs_H26_Stationary_PEP,0.700046377
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,0.076230087
H26_Exponential_vs_H26_Stationary_PEP,0.692778137
H26_Exponential_vs_H26_Stationary_PEP,0.683565297
H26_Exponential_vs_H26_Stationary_PEP,0.695119421
H26_Exponential_vs_H26_Stationary_PEP,1
H26_Exponential_vs_H26_Stationary_PEP,0.690126584
