Protein ID,H53_EL_RM_vs_H53_LL_RM,H53_EL_RM_vs_H53_LL_RM_PEP,2174_EL_RM_vs_2174_LL_RM,2174_EL_RM_vs_2174_LL_RM_PEP,2176_EL_RM_vs_2176_LL_RM,2176_EL_RM_vs_2176_LL_RM_PEP,H53_EL_RM_vs_2174_EL_RM,H53_EL_RM_vs_2174_EL_RM_PEP,2176_LL_RM_vs_H53_LL_RM,2176_LL_RM_vs_H53_LL_RM_PEP,H53_EL_RM_vs_H53_EL_CM,H53_EL_RM_vs_H53_EL_CM_PEP,2176_EL_RM_vs_2176_EL_CM,2176_EL_RM_vs_2176_EL_CM_PEP,H53_EL_RM_vs_2176_EL_RM,H53_EL_RM_vs_2176_EL_RM_PEP,H53_EL_CM_vs_2176_EL_CM,H53_EL_CM_vs_2176_EL_CM_PEP,H53_LL_RM_vs_H53_EL_CM,H53_LL_RM_vs_H53_EL_CM_PEP
HVO_C0077 [D4H0F9] (soxA2) sarcosine oxidase,1.044069021,0.000290921,1.192073794,0.000270027,1.130070917,0.000314563,-0.044041322,0.929036884,0.048511196,0.973332157,0.301463278,0.739513573,0.332232506,0.843145687,-0.029237033,0.965311801,-0.118292899,0.982076866,-0.686173014,0.000315019
HVO_C0076 [D4H0F8] IclR family transcription regulator,-0.027886377,0.518566779,-0.128667876,0.514813507,0.529404624,0.469953281,-0.149698454,0.87772769,-0.236756428,0.920737827,0.202776459,0.833980287,0.650269042,0.002611017,-0.282244815,0.922728244,0.206490495,0.96798351,0.243069583,0.487620564
HVO_C0075 [D4H0F7] (dppA16) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),1.655653558,0.000290921,1.676057548,0.000270027,1.632349507,0.000314563,-0.085567242,0.925778076,-0.072183217,0.977805823,0.614503976,0.062069221,0.431394256,0.447041611,-0.06458042,0.974501244,-0.122756433,0.982582477,-1.070876735,0.000315019
HVO_C0074 [D4H0F6] (dppDF16) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),1.899963768,0.006408084,1.791435182,0.000270027,1.473718683,0.000314563,-0.088046869,0.863835802,-0.209404682,0.859333695,0.561515139,0.778223484,0.496961029,0.853386553,0.389068326,0.916894085,0.23771235,0.970893494,-1.168684426,0.000315019
HVO_C0073 [D4H0F5] (dppB16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),0,1,0,1,0,1,0,1,0.224750479,0.934988602,0,1,0,1,0,1,0,1,1.448859915,1
HVO_C0072 [D4H0F4] (dppC16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),0,1,0,1,2.056553518,0.249711583,0,1,-0.142015259,0.946834934,0,1,3.736214501,1,0,1,0,1,-2.380887254,1
HVO_C0069 [D4H0F1] GFO family oxidoreductase,1.330391339,0.000290921,1.268633845,0.000270027,1.595465478,0.000314563,0.079561107,0.937114039,-0.227999233,0.872800665,0.76659424,0.001299785,0.784547947,0.002611885,-0.192755042,0.937980645,-0.239317619,0.954981848,-0.582128109,0.000315019
HVO_C0067 [D4H0E9] FAD-dependent oxidoreductase,1.010704426,0.317218704,1.187667781,0.215937206,0.720718666,0.412628727,0.157932195,0.855131242,-0.038853143,0.928273721,1.108563902,0.60685819,0.897493192,0.841122022,0.389781846,0.918317066,0.185177584,0.961556379,0.140162,0.497286662
HVO_C0057 [D4H0E4] (orc8) Orc1-type DNA replication protein,0.349269539,0.172113632,0.611767053,0.000270027,0.213867195,0.513948929,-0.171732556,0.899800566,0.052406975,0.978551316,0.087344916,0.886175801,-0.020179319,0.964613312,0.10022773,0.955832928,0.055796281,0.986421549,-0.370396154,0.111637457
HVO_C0054 [D4H0E1] hypothetical protein,1.697345287,0.402617842,1.90106525,0.008118405,0.840234766,0.477270402,0.567545404,0.776759121,0.687886802,0.210948982,2.679872314,0.696332667,1.975357569,0.820139441,-0.029395606,0.951130824,0.009677094,0.989227702,0.640035491,0.001575735
HVO_C0051 [D4H0D9] HTH domain protein,-0.684344036,0.004367853,-0.320204243,0.255937813,-0.11989264,0.606328126,-0.571531893,0.071626117,0.112087711,0.961866623,-0.52282648,0.04405874,0.146566924,0.928742253,-0.636832175,0.034485165,0.081696211,0.980618085,0.195525785,0.592168868
HVO_C0050 [D4H0D8] conserved hypothetical protein,-0.622225164,0.001455334,-0.278053096,0.302844731,-0.400294849,0.004091596,-0.281266681,0.601357988,0.087057111,0.960477802,-0.242363705,0.61956009,-0.057251502,0.938871292,-0.302733281,0.319802461,-0.015868462,0.984886302,0.381175142,0.131770212
HVO_C0046 [D4H0D4] conserved hypothetical protein<|>HVO_C0081 [D4H0G1] conserved hypothetical protein,-0.576744282,0.265992526,0.202975798,0.534906183,-0.146735167,0.624922028,-0.54575302,0.699194747,0.186377113,0.932254581,-0.423251409,0.65721543,0.563364667,0.243315273,-0.752527185,0.565152163,0.271977902,0.945082743,0.064799116,0.623570485
