Protein ID,H26_vs_DksgA,H26_vs_DksgA_PEP,H26_vs_DksgA_KsgA,H26_vs_DksgA_KsgA_PEP,H26_vs_DksgA_ksgA_E84A,H26_vs_DksgA_ksgA_E84A_PEP,Row_Number
HVO_C0081 [D4H0G1] conserved hypothetical protein,-0.431119416,0.712579957,0.730899032,0.324792411,1.199780547,0.092358782,2
HVO_C0080 [D4H0G0] ISH16-type transposase ISHvo8,0,1,0,1,0,1,3
HVO_C0077 [D4H0F9] (soxA2) sarcosine oxidase,0.980145008,0.000825727,-1.274308678,0.000244843,-1.296967955,0.000241787,4
HVO_C0076 [D4H0F8] IclR family transcription regulator,0.464107022,0.677777847,1.183983933,1,1.127213476,1,5
HVO_C0075 [D4H0F7] (dppA16) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),0.569744091,0.576728749,-1.444273225,0.316256023,-0.84414469,1,6
HVO_C0074 [D4H0F6] (dppDF16) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0.187820971,0.799079612,0.404368244,0.298722484,0.518943795,0.102237838,7
HVO_C0069 [D4H0F1] GFO family oxidoreductase,0.313374168,0.612832405,-0.867961331,0.000489893,-0.199831572,0.410430754,8
HVO_C0067 [D4H0E9] FAD-dependent oxidoreductase,-0.218146604,0.666511865,-0.355520452,0.385577826,3.403049775,1,9
HVO_C0060 [D4H0E5] CopG domain protein,-0.829312611,0.458176577,0.980837225,0.259258929,1.110584536,0.304193634,10
HVO_C0057 [D4H0E4] (orc8) Orc1-type DNA replication protein,0.156705748,0.782716415,-1.017112508,0.000244843,-0.75656109,0.000241787,11
HVO_C0056 [D4H0E3] conserved hypothetical protein,-0.305303247,0.647574373,1.966539643,0.216805854,0.249260123,0.384825313,12
HVO_C0054 [D4H0E1] hypothetical protein,0.169461472,0.748593425,-1.758845835,0.249041941,-2.202063562,0.136848414,13
HVO_C0051 [D4H0D9] HTH domain protein,-0.60824345,0.038750522,0.453329801,0.135642154,0.556744928,0.015324566,14
HVO_C0050 [D4H0D8] conserved hypothetical protein,-0.059823575,0.762305186,-0.334146283,0.439894866,-0.090458629,0.490932473,15
HVO_C0046 [D4H0D4] conserved hypothetical protein<|>HVO_C0081 [D4H0G1] conserved hypothetical protein,-0.715481613,0.003299131,1.062079753,0.000244843,1.044385957,0.000241787,16
HVO_C0046 [D4H0D4] conserved hypothetical protein,-0.716341143,0.571010833,0.491949243,0.34541177,0.879454692,0.105895499,17
HVO_C0045 [D4H0D3] conserved hypothetical protein,0,1,0,1,0,1,18
HVO_C0044 [D4H0D2] PLD domain protein,0.436946936,0.702089944,-0.323998547,0.449791749,-0.300490076,0.469656895,19
