"Protein.ID","H26_Exponential_vs_H26_Stationary_PEP","H26_Exponential_vs_HVABI_Exponential_PEP","H26_Exponential_vs_HVLON3_Exponential_PEP","H26_Stationary_vs_HVABI_Stationary_PEP","H26_Stationary_vs_HVLON3_Stationary_PEP"
"1","HVO_C0077 [D4H0F9] (soxA2) sarcosine oxidase",0.718025973617844,0.000830360157312193,0.912628142219854,0.203842516990695,0.512789719858393
"2","HVO_C0075 [D4H0F7] (dppA16) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.77486099849415,0.404335278118057,0.941834045260384,0.000375005859466593,0.4818609211485
"3","HVO_C0074 [D4H0F6] (dppDF16) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.799518929094332,0.738665702515112,0.933226129783598,0.0187181936943085,0.186846315843017
"4","HVO_C0073 [D4H0F5] (dppB16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.0193152131621366,0.577739819092356,1,0.459509472451714,1
"5","HVO_C0072 [D4H0F4] (dppC16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.680241516820866,0.628897377364613,0.91046492751071,0.000375005859466593,0.000549208008736257
"6","HVO_C0069 [D4H0F1] GFO family oxidoreductase",0.617856235712472,0.659609732381605,0.945617034091211,0.00637296115031949,0.120400853635188
"7","HVO_C0067 [D4H0E9] FAD-dependent oxidoreductase",0.72400684413846,0.000830360157312193,0.912841607950149,0.302329322364531,0.513489810519514
"8","HVO_C0057 [D4H0E4] (orc8) Orc1-type DNA replication protein",0.7166527605044,1,0.912628142219854,1,1
"9","HVO_C0054 [D4H0E1] hypothetical protein",0.0214294523926986,0.0985330892778881,0.837559291631713,0.0317745254751091,0.591548273362814
"10","HVO_C0050 [D4H0D8] conserved hypothetical protein",0.708865452485592,0.663849873739458,0.886104143172653,0.000375130856193229,0.570621391606688
"11","HVO_C0044 [D4H0D2] PLD domain protein",1,1,1,0.000375005859466593,1
"12","HVO_C0043 [D4H0D1] conserved hypothetical protein",0.55144763521023,0.591774829244134,0.913584719961497,0.113344615320506,0.173087236610451
"13","HVO_C0042 [D4H0D0] helicase domain protein",0.134156173000715,0.0269814957074893,0.430370168588638,0.0733000811215471,0.0255671906079747
"14","HVO_C0040 [D4H0C8] site-specific DNA-methyltransferase (cytosine-specific)",0.678416236049838,0.565882814622513,0.91326700597813,0.0436784639740169,0.620550055690304
