Protein ID,H26_Exponential_vs_H26_Stationary,H26_Exponential_vs_H26_Stationary_PEP,H26_Exponential_vs_HVABI_Exponential,H26_Exponential_vs_HVABI_Exponential_PEP,H26_Exponential_vs_HVLON3_Exponential,H26_Exponential_vs_HVLON3_Exponential_PEP,H26_Stationary_vs_HVABI_Stationary,H26_Stationary_vs_HVABI_Stationary_PEP,H26_Stationary_vs_HVLON3_Stationary,H26_Stationary_vs_HVLON3_Stationary_PEP
HVO_C0077 [D4H0F9] (soxA2) sarcosine oxidase,0.7348193235942292,0.7180259736178437,-1.3529884316288432,0.0008303601573121933,-0.272949037748862,0.9126281422198541,-1.5385599894111115,0.20384251699069544,-0.8401198623471751,0.5127897198583933
HVO_C0075 [D4H0F7] (dppA16) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),0.2925731431348798,0.7748609984941504,0.6537087896963643,0.40433527811805736,-0.05585279538351023,0.9418340452603835,1.5582171456736629,0.0003750058594665928,0.5836954220418794,0.4818609211484999
HVO_C0074 [D4H0F6] (dppDF16) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0.10456955310537172,0.7995189290943318,0.29596451039221017,0.7386657025151115,0.21402535196052808,0.9332261297835979,0.9352347075879666,0.018718193694308494,0.7826415177531503,0.18684631584301725
HVO_C0073 [D4H0F5] (dppB16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),1.643671875017637,0.01931521316213658,2.4070650918195087,0.577739819092356,23.322304584910093,1.0,2.027022299258196,0.4595094724517145,2.479681383736068,1.0
HVO_C0072 [D4H0F4] (dppC16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),-1.3060120438998937,0.6802415168208662,0.8757193115422381,0.6288973773646129,0.1725621670936407,0.9104649275107104,2.989313274451937,0.0003750058594665928,2.748527075023956,0.0005492080087362572
HVO_C0069 [D4H0F1] GFO family oxidoreductase,0.9737790986922765,0.6178562357124715,-0.3426503564262252,0.6596097323816048,0.06682707365613173,0.945617034091211,-1.2051363304228966,0.006372961150319489,-1.0826204418220877,0.12040085363518782
HVO_C0067 [D4H0E9] FAD-dependent oxidoreductase,0.7270558307182899,0.7240068441384598,-1.9638966130372846,0.0008303601573121933,-0.19476592531038844,0.9128416079501487,-2.677053332018022,0.3023293223645307,-2.648765772485207,0.5134898105195136
HVO_C0057 [D4H0E4] (orc8) Orc1-type DNA replication protein,1.0947768272235412,0.7166527605044002,1.994237154273951,1.0,-0.44485909249802164,0.9126281422198541,2.1988581652644497,1.0,3.1990718961438276,1.0
HVO_C0054 [D4H0E1] hypothetical protein,-1.2983891540678485,0.021429452392698556,1.6192549451585125,0.09853308927788806,-1.0743079497742183,0.8375592916317135,0.7361428976845059,0.03177452547510906,0.4741661536167868,0.5915482733628137
HVO_C0050 [D4H0D8] conserved hypothetical protein,0.9632183175922175,0.7088654524855917,-0.4057948960773351,0.6638498737394577,1.186452230261653,0.8861041431726525,-1.93123234950821,0.0003751308561932287,-2.558565915276511,0.5706213916066876
