Protein ID,Log2 fold change
H26_Exponential_vs_H26_Stationary,0.734819324
H26_Exponential_vs_H26_Stationary,0.292573143
H26_Exponential_vs_H26_Stationary,0.104569553
H26_Exponential_vs_H26_Stationary,1.643671875
H26_Exponential_vs_H26_Stationary,-1.306012044
H26_Exponential_vs_H26_Stationary,0.973779099
H26_Exponential_vs_H26_Stationary,0.727055831
H26_Exponential_vs_H26_Stationary,1.094776827
H26_Exponential_vs_H26_Stationary,-1.298389154
H26_Exponential_vs_H26_Stationary,0.963218318
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,1.705478134
H26_Exponential_vs_H26_Stationary,0.721739763
H26_Exponential_vs_H26_Stationary,1.233857893
H26_Exponential_vs_H26_Stationary,8.825943193
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,0.745907673
H26_Exponential_vs_H26_Stationary,1.228178313
H26_Exponential_vs_H26_Stationary,0.115553031
H26_Exponential_vs_H26_Stationary,0.733236505
H26_Exponential_vs_H26_Stationary,-0.530023915
H26_Exponential_vs_H26_Stationary,-1.995950944
H26_Exponential_vs_H26_Stationary,-3.331616191
H26_Exponential_vs_H26_Stationary,32.63226457
H26_Exponential_vs_H26_Stationary,-1.839651817
H26_Exponential_vs_H26_Stationary,-0.982601595
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,-1.406630056
H26_Exponential_vs_H26_Stationary,0.800651121
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,-1.132597239
H26_Exponential_vs_H26_Stationary,-1.25402821
H26_Exponential_vs_H26_Stationary,-1.740913805
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,0.583754488
H26_Exponential_vs_H26_Stationary,-0.821236794
H26_Exponential_vs_H26_Stationary,-0.071668979
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,-1.856994368
H26_Exponential_vs_H26_Stationary,6.572963684
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,-2.007908039
H26_Exponential_vs_H26_Stationary,-0.891804174
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,-0.81966647
H26_Exponential_vs_H26_Stationary,-1.241475207
H26_Exponential_vs_H26_Stationary,-0.311116563
H26_Exponential_vs_H26_Stationary,-0.766318178
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,3.071147788
H26_Exponential_vs_H26_Stationary,-0.577127514
H26_Exponential_vs_H26_Stationary,-2.214826892
H26_Exponential_vs_H26_Stationary,-0.135368781
H26_Exponential_vs_H26_Stationary,3.24682547
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,-0.589323472
H26_Exponential_vs_H26_Stationary,7.564918843
H26_Exponential_vs_H26_Stationary,0.232622799
H26_Exponential_vs_H26_Stationary,-2.285143853
H26_Exponential_vs_H26_Stationary,0.680125202
H26_Exponential_vs_H26_Stationary,0.578145633
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,2.230707178
H26_Exponential_vs_H26_Stationary,1.188149419
H26_Exponential_vs_H26_Stationary,13.61236303
H26_Exponential_vs_H26_Stationary,0.412872972
H26_Exponential_vs_H26_Stationary,1.722477092
H26_Exponential_vs_H26_Stationary,-0.409519164
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,-0.957676802
H26_Exponential_vs_H26_Stationary,1.286828773
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,0.252148227
H26_Exponential_vs_H26_Stationary,-1.628133977
H26_Exponential_vs_H26_Stationary,-0.042803997
H26_Exponential_vs_H26_Stationary,-0.955903242
H26_Exponential_vs_H26_Stationary,0
H26_Exponential_vs_H26_Stationary,0
