"Protein.ID","H26_vs_DksgA","H26_vs_DksgA_KsgA","H26_vs_DksgA_ksgA_E84A"
"1","HVO_C0081 [D4H0G1] conserved hypothetical protein",-0.431119416,0.730899032,1.199780547
"2","HVO_C0080 [D4H0G0] ISH16-type transposase ISHvo8",0,0,0
"3","HVO_C0077 [D4H0F9] (soxA2) sarcosine oxidase",0.980145008,-1.274308678,-1.296967955
"4","HVO_C0076 [D4H0F8] IclR family transcription regulator",0.464107022,1.183983933,1.127213476
"5","HVO_C0075 [D4H0F7] (dppA16) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.569744091,-1.444273225,-0.84414469
"6","HVO_C0074 [D4H0F6] (dppDF16) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.187820971,0.404368244,0.518943795
"7","HVO_C0069 [D4H0F1] GFO family oxidoreductase",0.313374168,-0.867961331,-0.199831572
"8","HVO_C0067 [D4H0E9] FAD-dependent oxidoreductase",-0.218146604,-0.355520452,3.403049775
"9","HVO_C0060 [D4H0E5] CopG domain protein",-0.829312611,0.980837225,1.110584536
"10","HVO_C0057 [D4H0E4] (orc8) Orc1-type DNA replication protein",0.156705748,-1.017112508,-0.75656109
"11","HVO_C0056 [D4H0E3] conserved hypothetical protein",-0.305303247,1.966539643,0.249260123
"12","HVO_C0054 [D4H0E1] hypothetical protein",0.169461472,-1.758845835,-2.202063562
"13","HVO_C0051 [D4H0D9] HTH domain protein",-0.60824345,0.453329801,0.556744928
"14","HVO_C0050 [D4H0D8] conserved hypothetical protein",-0.059823575,-0.334146283,-0.090458629
"15","HVO_C0046 [D4H0D4] conserved hypothetical protein<|>HVO_C0081 [D4H0G1] conserved hypothetical protein",-0.715481613,1.062079753,1.044385957
"16","HVO_C0046 [D4H0D4] conserved hypothetical protein",-0.716341143,0.491949243,0.879454692
"17","HVO_C0045 [D4H0D3] conserved hypothetical protein",0,0,0
"18","HVO_C0044 [D4H0D2] PLD domain protein",0.436946936,-0.323998547,-0.300490076
"19","HVO_C0043 [D4H0D1] conserved hypothetical protein",0.545703303,-0.879629985,-0.649742213
"20","HVO_C0042 [D4H0D0] helicase domain protein",0.436620951,-1.459896678,-1.611273699
"21","HVO_C0040 [D4H0C8] site-specific DNA-methyltransferase (cytosine-specific)",0.173863185,-0.91359719,-0.911625071
"22","HVO_C0038 [D4H0C6] conserved hypothetical protein",-0.479592788,0.7389387,0.603918542
"23","HVO_C0018 [D4H0A8] conserved hypothetical protein",-0.381521281,0.748390918,0.852390583
"24","HVO_C0017 [D4H0A7] (parA1) ParA domain protein",0.050262639,0.856108464,0.833365064
"25","HVO_C0012 [D4H0A3] conserved hypothetical protein",-0.965720101,1.267745631,1.263941043
"26","HVO_C0007 [D4H098] conserved hypothetical protein",-1.296726116,1.488542568,1.068012954
"27","HVO_C0006 [D4H097] UPF0395 family protein",-0.862160396,1.092455602,-0.695691147
"28","HVO_C0002 [D4H093] conserved hypothetical protein",-0.583133912,0.968405295,1.191740844
"29","HVO_C0001 [D4H092] (orc10) Orc1-type DNA replication protein",0.290793023,-1.271157008,-1.119300528
"30","HVO_B0382 [D4GQ28] (tbp3) TATA-binding transcription initiation factor",-1.096360841,0.159085313,0.047844354
"31","HVO_B0381 [D4GQ27] (tenA2) aminopyrimidine aminohydrolase",-0.838620839,0.093282846,0.173295004
"32","HVO_B0380 [D4GQ26] (tenA1) aminopyrimidine aminohydrolase",-1.173594271,0.804971449,0.442877964
"33","HVO_B0378 [D4GQ24] probable PPOX family oxidoreductase",0.24535016,0.369292584,0.693959422
"34","HVO_B0376 [D4GQ22] probable oxidoreductase (aldo-keto reductase family protein)",0.345593052,0.533245072,0.580192324
"35","HVO_B0375 [D4GQ21] Spo0M family protein",-0.863050589,-1.637558309,-1.90440295
"36","HVO_B0371 [D4GQ18] (aldH1) aldehyde dehydrogenase",-0.512895837,0.868988374,0.823933927
"37","HVO_B0369 [D4GQ16] ABC-type transport system periplasmic substrate-binding protein (probable substrate molybdate)",-0.849697322,-1.468479263,2.441430585
"38","HVO_B0361 [D4GQ08] (dmsR) HTH-10 family transcription regulator DmsR",-0.805472503,0.051091687,-0.709361196
"39","HVO_B0358 [D4GQ05] conserved hypothetical protein",-0.020884387,-1.227175645,-1.057611066
"40","HVO_B0357 [D4GQ04] polyamine aminopropyltransferase",0.429858716,-1.375046427,6.137027872
"41","HVO_B0356 [D4GQ03] DUF2617 family protein",-0.291422211,-0.750597804,-0.975572679
"42","HVO_B0355 [D4GQ02] conserved hypothetical protein",0.720502082,4.578493279,5.844151114
"43","HVO_B0354 [D4GQ01] conserved hypothetical protein",0.477332109,-2.285739848,-2.220826252
"44","HVO_B0353 [D4GQ00] probable carbon-nitrogen hydrolase",-0.607723626,-1.590253004,-1.479440253
"45","HVO_B0352 [D4GPZ9] cupin 2 barrel domain protein",0.201325003,0.728715093,1.063033181
"46","HVO_B0347 [D4GPZ4] GFO family oxidoreductase",-0.463288547,-0.588337602,0.053412094
"47","HVO_B0345 [D4GPZ2] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",-0.189294601,-1.688428331,-1.473782699
"48","HVO_B0344 [D4GPZ1] UspA domain protein",-0.308439779,1.748155937,2.197534038
"49","HVO_B0340 [D4GPY7] conserved hypothetical protein",0,0,0
"50","HVO_B0337 [D4GPY4] SAF domain protein",0,0,0
"51","HVO_B0334 [D4GPY1] GFO family oxidoreductase",-0.242278427,-1.502079566,-0.910825249
"52","HVO_B0331 [D4GPX8] (dppD15) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.06895072,-2.231819553,-1.032816825
