"Protein.ID","H53_EL_RM_vs_H53_LL_RM","X2174_EL_RM_vs_2174_LL_RM","X2176_EL_RM_vs_2176_LL_RM","H53_EL_RM_vs_2174_EL_RM","X2176_LL_RM_vs_H53_LL_RM","H53_EL_RM_vs_H53_EL_CM","X2176_EL_RM_vs_2176_EL_CM","H53_EL_RM_vs_2176_EL_RM","H53_EL_CM_vs_2176_EL_CM","H53_LL_RM_vs_H53_EL_CM","H26_Exponential_vs_H26_Stationary","H26_Exponential_vs_HVABI_Exponential","H26_Exponential_vs_HVLON3_Exponential","H26_Stationary_vs_HVABI_Stationary","H26_Stationary_vs_HVLON3_Stationary","H26_vs_DksgA","H26_vs_DksgA_KsgA","H26_vs_DksgA_ksgA_E84A"
"HVO_0001 [D4GYJ7] (orc1) Orc1-type DNA replication protein",-0.43114395,-0.276251355,-0.438067616,-0.113532957,-0.048892165,-0.179635792,0.028816554,0.084396451,0.298173254,0.251556065,0.754623197195586,-1.83171455716747,-0.194620930253279,-2.75606697876956,-3.4925835440406,-0.087518092,0.55778631,0.521023931
"HVO_0002 [D4GYJ8] (sec11b) signal peptidase I",-0.240282209,0.101877932,-0.091187729,-0.042882682,0.039405728,0.013943463,0.417467137,-0.050659839,0.003648279,0.265329955,-1.23199555963125,1.17935732991821,-0.926545840490788,2.58022328228325,1.49163251720968,0.018363545,0.549521542,0.084441234
"HVO_0003 [D4GYJ9] (polD1) DNA-directed DNA polymerase D exonuclease subunit DP1",-0.47198514,-0.707989321,-0.326111069,0.215741264,-0.324785419,0.107616914,0.217157247,0.184296724,0.258163927,0.601134441,0.168469333447249,-1.34703354878875,-0.484430703166269,1.05731251492571,-0.367018044623479,0.139281735,-0.760588084,-1.045628213
"HVO_0004 [D4GYK0] NamA family oxidoreductase",-1.026391071,-0.197182033,-0.690911317,-0.317144069,0.080860884,-0.533776197,0.236957905,-0.523315228,0.293827424,0.641923403,NA,NA,NA,NA,NA,-0.525818414,1.439981227,1.095559742
"HVO_0005 [D4GYK1] (gufA1) GufA family transport protein (probable substrate zinc)",0,0,0,0,2.684356495,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"HVO_0006 [D4GYK2] acetyltransferase domain protein",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.102954215,0.389080008,0.162556681
"HVO_0008 [D4GYK3] (lysC) aspartate kinase",0.586411209,0.684508471,0.631890661,-0.141399141,-0.164604321,-0.071998496,-0.307246066,0.108183671,-0.093644017,-0.625497652,-0.26426685160263,-0.132297791303445,0.312058178158531,0.425951289640695,1.03455572717616,0.013303835,0.698270173,0.598743685
"HVO_0009 [D4GYK5] (tnaA) tryptophanase",1.012534029,1.332101954,1.443227169,-0.366579003,-0.07972011,-0.156781754,-0.059886726,-0.241600392,-0.207025923,-1.165834477,NA,NA,NA,NA,NA,0.208096662,-2.089931975,-1.778789004
"HVO_0010 [D4GYK6] MJ0936 family phosphodiesterase",0.161945511,0.879205624,1.294854727,-0.735217467,0.098078335,-1.086712971,-0.023091819,-1.022650857,-0.01659011,-1.231087338,NA,NA,NA,NA,NA,-0.117867664,-1.045573706,-1.17551359
"HVO_0011 [D4GYK7] (purO) inosine-5'-monophosphate cyclohydrolase, archaeal-type",-1.036149082,-0.978613286,-0.954617829,0.160582337,0.166990104,-0.021801634,0.081547574,0.000953823,0.11033372,1.042159669,0.0696294304044532,-0.0276786214520095,-0.570003375902123,-0.482158597938885,-0.423645916814613,0.006514322,-0.169881931,-0.45444038
"HVO_0013 [D4GYK8] (cgi121) KEOPS complex subunit Cgi121",-0.952014413,-0.005157675,0.299531844,-0.904106761,0.332417115,-0.298149777,1.415259336,-1.529491375,0.106185058,0.730354521,NA,NA,NA,NA,NA,-0.128523147,0.825289825,1.024830237
"HVO_0014 [D4GYK9] (hel308a) ATP-dependent DNA helicase Hel308a",-0.066032279,-0.082745155,-0.088647235,-0.009823535,-0.001361384,0.049863736,-0.012772742,0.01666313,-0.023969996,0.145382061,1.08257462944375,-0.432670732084267,0.0668692678053,-1.63978735926149,-1.4976641520301,0.092510338,-0.097964959,-0.113922372
"HVO_0014 [D4GYK9] (hel308a) ATP-dependent DNA helicase Hel308a<|>HVO_0971 [D4GV78] (hel308b) ATP-dependent DNA helicase Hel308b",-0.363553593,-0.254068356,-0.347755095,-0.296032173,0.14095633,0.042759976,-0.921008387,-0.188208597,-1.156942754,0.394155401,3.30254855855033,2.77383708732257,-0.79306917461918,-2.75534029842094,-1.86442576431214,0.068706942,-0.18138955,-0.059490435
"HVO_0015 [D4GYL0] (ferC) ferredoxin (4Fe-4S)",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.635732778,1.788874664,1.62552007
"HVO_0016 [D4GYL1] conserved hypothetical protein",0.178539892,0.316231765,0.401096876,-0.333524466,0.368254072,-0.497191832,-0.067843943,-0.69586209,0.135505276,-0.876305276,NA,NA,NA,NA,NA,-0.100869249,0.478638488,0.369715218
"HVO_0016 [D4GYL1] conserved hypothetical protein<|>HVO_2175 [D4GVA8] (sph3) Smc-like protein Sph3",-4.431956937,-1.939725211,-2.87465792,-2.586932871,-1.191884052,-4.235204752,-0.88112686,-0.454567667,2.860031761,0.286446628,NA,NA,NA,NA,NA,0,0,0
"HVO_0017 [D4GYL2] conserved hypothetical protein",0.065734706,0.300952705,0.21683463,-0.485030575,0.065017111,-0.740458575,-0.47854796,-0.200231528,0.030933376,-0.821187882,0.265148021497791,1.62856506535305,0.834726448903719,1.66548245117417,2.30696829331928,-0.055749942,1.872305253,1.44634631
"HVO_0018 [D4GYL3] DUF2391 family protein",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"HVO_0019 [D4GYL4] probable S-adenosylmethionine-dependent methyltransferase (homolog to 24-sterol C-methyltransferase)",-0.155438072,0.027502529,0.069882713,-0.267047969,0.19319463,-0.254880578,0.066089129,-0.43272614,-0.056152932,-0.105472539,1.56107924577807,1.52772536973112,0.202726786456015,-0.993795409747641,-0.867555776580957,-0.445972242,-0.780188377,-1.015230242
"HVO_0020 [D4GYL5] (thiQ) ABC-type transport system ATP-binding protein (probable substrate thiamine)",0.381924623,0.225320618,0.209586947,-0.018161014,0.155184565,0.031185551,-0.017276736,-0.043362911,-0.039120969,-0.293273342,-1.61229299549581,0.646243263291216,0.09607564050114,2.11630774165315,2.12978269498702,0.349466954,-0.536337612,-0.220162729
"HVO_0021 [D4GYL6] (thiP) ABC-type transport system permease protein (probable substrate thiamine)",0.032096406,0.019139142,0.234823806,0.185232289,0.007282531,0.167800921,0.246538546,-0.09841832,-0.07989163,0.107545623,NA,NA,NA,NA,NA,NA,NA,NA
"HVO_0022 [D4GYL7] (thiB) ABC-type transport system periplasmic substrate-binding protein (probable substrate thiamine)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.80789456806705,0.979591028899026,-0.549115142828659,2.23949163326984,1.50489647302092,-0.530031705,-1.091767448,-1.358617593
"HVO_0024 [D4GYL9] (tssA2) rhodanese domain protein",0.389399638,0.797178391,0.897660585,-0.647213577,0.185737081,-0.389187793,0.146938813,-0.701222853,-0.032426185,-0.712805691,0.369715909675881,-0.0143911003272102,-0.395207546440896,-0.302312241521418,-0.493094257358895,-0.044549446,1.584018197,1.764483703
"HVO_0025 [D4GYM0] (tssA1) TtuD family sulfurtransferase",0.422750204,0.52262081,0.751627041,-0.071986166,0.127850867,0.126605094,0.518271997,-0.443421991,-0.023062056,-0.294272402,0.792768592238362,0.775948452769953,-0.100420977770974,-0.631158236679322,-0.983112918398872,-0.811858027,-0.271116069,-0.318810529
"HVO_0025 [D4GYM0] (tssA1) TtuD family sulfurtransferase<|>HVO_0754 [D4GTP5] conserved hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.00362605850911,-0.323291862951694,1.74406213427653,1.13109437368595,3.16816640652745,NA,NA,NA
"HVO_0026 [D4GYM1] (atoE) AtoE family transport protein",-0.829299839,-0.70326198,-0.200537119,0.33171109,-0.65882534,0.112181685,0.357033002,-0.026256353,0.233106255,1.018564676,0,0,0,1.95278030245339,-0.344409397456345,NA,NA,NA
"HVO_0027 [D4GYM2] ferritin domain protein",0,0,0,0,-0.022063211,0,0,0,0,1.654449522,0,0,0,0,0,-0.618055639,1.764177575,1.790290345
"HVO_0028 [D4GYM3] conserved hypothetical protein",0.458159901,1.132140942,1.055729678,-0.487877921,-0.031915904,-0.517517405,0.235207546,-0.635474525,0.095892621,-0.878901428,NA,NA,NA,NA,NA,-1.079842553,0.710040818,0.621414369
"HVO_0029 [D4GYM4] (uvrB) UvrABC system protein B",0.149955051,0.058559651,0.119215032,0.001609154,0.037009037,0.027076797,-0.141313896,0.019828113,-0.124371649,-0.11574017,1.12377902328814,-1.77266168741974,0.00759040738699643,-0.757890267059956,-0.0846406141411804,-0.222327811,-0.247767129,-0.350219183
"HVO_0030 [D4GYM5] NUDIX family hydrolase (homolog to 8-oxo-dGTP phosphatase)",0.117750096,0.613058501,0.265334399,-0.590963987,0.188896694,-0.280387627,-0.089411941,-0.294505824,-0.075364564,-0.384492382,NA,NA,NA,NA,NA,NA,NA,NA
"HVO_0033 [D4GYM8] UspA domain protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.473878486,0.387516517,-0.044829254
"HVO_0034 [D4GYM9] thioesterase domain protein",0,0,0,0,0,0,0,0,0,0,-2.85558073467288,-2.06276522675083,-0.248384161580996,-1.33466797049784,0.355588176158108,-0.165596967,1.208964422,1.224654063
"HVO_0035 [D4GYN0] stomatin family protein",1.551855114,1.576122917,1.341717391,-0.040420439,0.354580507,0.293042975,0.348629441,0.024376509,0.057667202,-1.289357505,-1.01187652845767,1.40972962136752,-0.353772751766942,3.02544714242129,1.8361308008866,0.290834981,0.206025959,0.220918476
"HVO_0035 [D4GYN0] stomatin family protein<|>HVO_0801 [D4GUA4] stomatin family protein",2.441355747,1.90039724,2.110123695,0.214262659,0.275599789,0.741116593,0.395589324,0.037058012,-0.268222661,-1.707085736,-0.851630413505601,0.458833755384883,0.470572103177843,2.8327788586015,2.77347032554495,0.720261978,-0.060044487,0.347976028
"HVO_0035 [D4GYN0] stomatin family protein<|>HVO_0801 [D4GUA4] stomatin family protein<|>HVO_0851 [-] spurious ORF",0,0,0,0,0,0,0,0,0,0,-2.87169908134322,-5.1043540401462,0.217979266369841,2.59412793902375,0.989050408997233,0.352703307,0.279031684,0.387990127
"HVO_0037 [D4GYN2] phosphodiesterase domain protein",-0.583469811,-0.247917432,-0.32099557,-0.320592735,-0.133426334,-0.521361334,-0.613625859,-0.04886898,-0.148905131,0.040422142,NA,NA,NA,NA,NA,0.26416477,-0.512250494,-0.511924042
"HVO_0038 [D4GYN3] (cyc1) cytochrome P450",0.277221837,0.177970825,0.420994333,-0.272365231,0.337575537,-0.192631278,0.121321231,-0.335141887,0.177943419,-0.519973427,NA,NA,NA,NA,NA,0.148096475,0.467657105,0.582879978
"HVO_0039 [D4GYN4] (rad3b) DNA repair helicase Rad3",0.756668905,0.916073351,0.820694996,-0.089490018,-0.06945299,0.117841548,0.122794516,-0.063233829,0.173544478,-0.723943579,NA,NA,NA,NA,NA,0.336933487,-0.843651414,-0.982692923
"HVO_0040 [D4GYN5] conserved hypothetical protein",0,0,0,0,-0.353367227,0,0,0,2.847154186,-6.004697506,0,0,0,0,0,NA,NA,NA
"HVO_0041 [D4GYN6] (argF) ornithine carbamoyltransferase",-1.105475491,-0.665304803,-1.31426902,-0.400437686,0.189262234,-0.474780332,-0.501851402,-0.339277745,0.062109875,0.82061646,-0.263717211972552,-1.05839494533023,-0.343080206432778,-1.57471155546868,-1.03225842684792,-1.085559354,1.565801005,1.194797215
"HVO_0042 [D4GYN7] (argE) probable [ArgW]-ornithine hydrolase",-1.815632785,-1.998457556,-2.080962164,-0.018584114,-0.221131558,0.134762531,-0.04922803,0.376037292,-0.25944521,2.114494361,-0.68312879513546,-0.857381000799704,-0.110724597957888,-2.43126679602064,-1.41090309416299,-0.198048965,0.931087293,0.736828633
"HVO_0043 [D4GYN8] (argD) probable [ArgW]-glutamate semialdehyde aminotransferase",-0.935085457,-0.943044652,-1.012185603,-0.094055897,0.175121995,-0.023942863,-0.133901497,-0.069245262,-0.158085775,0.833763625,0.00845769845829789,0.157957004525494,-0.359605750254746,-1.4819817451455,-1.087364374051,-0.049308532,0.260653291,0.41969109
"HVO_0044 [D4GYN9] (argB) probable [ArgW]-glutamate kinase",-0.876000484,-0.815478458,-0.790587729,-0.102589357,0.016121675,-0.041036776,-0.049376391,-0.079566864,-0.130998287,0.879564953,1.03965500647761,0.449553757821414,-0.374391942283288,-0.601184456126157,-0.869909193921379,-0.651615801,1.80549378,1.573848361
"HVO_0045 [D4GYP0] (argC) probable [ArgW]-L-glutamate phosphate reductase",-0.71680849,-0.770748826,-0.601343801,-0.030267025,-0.121607354,-0.000810157,0.064944742,-0.013388081,0.089276999,0.729820408,-0.371380976914175,-0.222160390340488,-0.225422429236604,-0.244950878776341,-0.137719389900364,0.428472364,0.164278798,0.306806834
"HVO_0046 [D4GYP1] (argX) probable glutamate--argW ligase",-1.752459681,-1.424949214,-1.347544452,-0.097780301,-0.208016706,0.129881032,0.349866367,-0.162454225,0.055741587,1.860072839,-0.0655705624435206,0.0920235995232273,-0.226628734096441,-0.782514400667918,-0.959850959510658,0.158812033,0.537298395,0.616685755
"HVO_0048 [D4GYP3] (argH) argininosuccinate lyase",-0.718424183,-0.41568438,-0.518982558,-0.405145122,0.09703399,-0.39626735,-0.107545775,-0.215556961,0.026218192,0.34099482,-0.512870784109728,-0.481877585739982,0.232142362620625,0.188189147407796,-0.421785926141097,0.17361734,0.952874524,0.96680156
"HVO_0049 [D4GYP4] (argG) argininosuccinate synthase",-1.315000237,-1.126813457,-0.99799697,-0.109971239,-0.268404781,-0.215401651,-0.168448818,-0.028035526,0.078143365,1.125529868,0.0707566688936525,0.687117437443361,-0.0501135925804501,-0.00702605786409971,0.422261923700866,0.291693904,0.031513751,0.055424795
"HVO_0050 [D4GYP5] hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"HVO_0051 [D4GYP6] (kef2) Kef-type transport system (probable substrate potassium)",0,0,0,0,0,0,0,0,0,0,5.87279547092521,4.91761525867247,0.799216800136773,-6.17919353847027,-3.7918388745705,NA,NA,NA
"HVO_0052 [D4GYP7] probable Kef-type transport system accessory protein",0.572858335,0.691583215,0.776357901,-0.293969953,0.153111714,-0.51377611,0.404235934,-0.442167983,0.458680244,-1.100519011,-0.0252146591777395,-0.540376011414183,2.08984284740008,-0.211344902017244,1.83061645368756,-0.199196708,1.663458515,1.384660952
"HVO_0054 [D4GYP9] (glyS) glycine--tRNA ligase",-0.519906193,-0.520911738,-0.450939339,-0.045708491,-0.063678287,-0.117043317,-0.286640973,0.113295723,-0.040403388,0.378938991,0.550933057250434,-0.668019978855487,0.226398229669734,-1.23661855664339,-0.790533205415706,-0.168481233,0.526298881,0.398039041
"HVO_0055 [D4GYQ0] CBS domain protein",-0.098332862,-0.075023393,0.014085338,-0.11808591,0.279455999,-0.198087081,0.081114195,-0.37474343,-0.091937505,-0.04962787,0.49138945944373,-0.725871368763497,0.183352190813347,-1.57872076464893,-0.724707254145242,-0.200840988,0.647750909,0.622203192
"HVO_0056 [D4GYQ1] conserved hypothetical protein",-0.225513564,0.259595513,0.406469834,-0.383706821,-0.127879861,-0.549816594,0.218150848,-0.558731814,0.526527386,-0.302088827,0.464679188663625,-1.15037331503627,-0.390451326112208,-1.70550658804138,-2.01140740496386,-0.616740757,1.504207447,1.199229437
"HVO_0057 [D4GYQ2] conserved hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.784003919,-0.062659386,0.559057494
"HVO_0058 [D4GYQ3] (dppF1) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",-0.45588123,-0.634538297,-0.36552703,0.239975271,-0.252018459,0.134997383,0.110557051,0.147501332,0.153787272,0.583757975,-1.14972926495441,0.854575221598723,-0.31272828820971,1.77886030800347,0.836549239383599,-0.385739604,-0.368012586,-0.80785873
