"Protein.ID","H53_EL_RM_vs_H53_LL_RM_PEP","X2174_EL_RM_vs_2174_LL_RM_PEP","X2176_EL_RM_vs_2176_LL_RM_PEP","H53_EL_RM_vs_2174_EL_RM_PEP","X2176_LL_RM_vs_H53_LL_RM_PEP","H53_EL_RM_vs_H53_EL_CM_PEP","X2176_EL_RM_vs_2176_EL_CM_PEP","H53_EL_RM_vs_2176_EL_RM_PEP","H53_EL_CM_vs_2176_EL_CM_PEP","H53_LL_RM_vs_H53_EL_CM_PEP"
"1","HVO_C0077 [D4H0F9] (soxA2) sarcosine oxidase",0.000290921,0.000270027,0.000314563,0.929036884,0.973332157,0.739513573,0.843145687,0.965311801,0.982076866,0.000315019
"2","HVO_C0076 [D4H0F8] IclR family transcription regulator",0.518566779,0.514813507,0.469953281,0.87772769,0.920737827,0.833980287,0.002611017,0.922728244,0.96798351,0.487620564
"3","HVO_C0075 [D4H0F7] (dppA16) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.000290921,0.000270027,0.000314563,0.925778076,0.977805823,0.062069221,0.447041611,0.974501244,0.982582477,0.000315019
"4","HVO_C0074 [D4H0F6] (dppDF16) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.006408084,0.000270027,0.000314563,0.863835802,0.859333695,0.778223484,0.853386553,0.916894085,0.970893494,0.000315019
"5","HVO_C0073 [D4H0F5] (dppB16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1,1,1,1,0.934988602,1,1,1,1,1
"6","HVO_C0072 [D4H0F4] (dppC16) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1,1,0.249711583,1,0.946834934,1,1,1,1,1
"7","HVO_C0069 [D4H0F1] GFO family oxidoreductase",0.000290921,0.000270027,0.000314563,0.937114039,0.872800665,0.001299785,0.002611885,0.937980645,0.954981848,0.000315019
"8","HVO_C0067 [D4H0E9] FAD-dependent oxidoreductase",0.317218704,0.215937206,0.412628727,0.855131242,0.928273721,0.60685819,0.841122022,0.918317066,0.961556379,0.497286662
"9","HVO_C0057 [D4H0E4] (orc8) Orc1-type DNA replication protein",0.172113632,0.000270027,0.513948929,0.899800566,0.978551316,0.886175801,0.964613312,0.955832928,0.986421549,0.111637457
"10","HVO_C0054 [D4H0E1] hypothetical protein",0.402617842,0.008118405,0.477270402,0.776759121,0.210948982,0.696332667,0.820139441,0.951130824,0.989227702,0.001575735
"11","HVO_C0051 [D4H0D9] HTH domain protein",0.004367853,0.255937813,0.606328126,0.071626117,0.961866623,0.04405874,0.928742253,0.034485165,0.980618085,0.592168868
"12","HVO_C0050 [D4H0D8] conserved hypothetical protein",0.001455334,0.302844731,0.004091596,0.601357988,0.960477802,0.61956009,0.938871292,0.319802461,0.984886302,0.131770212
"13","HVO_C0046 [D4H0D4] conserved hypothetical protein<|>HVO_C0081 [D4H0G1] conserved hypothetical protein",0.265992526,0.534906183,0.624922028,0.699194747,0.932254581,0.65721543,0.243315273,0.565152163,0.945082743,0.623570485
"14","HVO_C0046 [D4H0D4] conserved hypothetical protein",0.274164796,0.504323513,0.486258959,0.706256285,0.919757138,0.682433751,0.875758305,0.909163948,0.960456312,0.455033369
"15","HVO_C0045 [D4H0D3] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"16","HVO_C0044 [D4H0D2] PLD domain protein",0.059586073,0.031837258,0.132563238,0.918807289,0.956657071,0.682433751,0.872667883,0.963079365,0.978240552,0.389227445
"17","HVO_C0043 [D4H0D1] conserved hypothetical protein",0.000290921,0.000270027,0.000314563,0.906605708,0.967827914,0.666935637,0.867047277,0.981364907,0.990901705,0.000315019
"18","HVO_C0042 [D4H0D0] helicase domain protein",0.000290921,0.000270027,0.000314563,0.960371609,0.422834512,0.001299785,0.04526018,0.931637809,0.993579314,0.000315019
"19","HVO_C0041 [D4H0C9] conserved hypothetical protein",0.43833581,0.475461504,0.483927697,0.834878937,0.935069931,0.807960627,0.65926588,0.868751288,0.948293532,0.466657937
"20","HVO_C0040 [D4H0C8] site-specific DNA-methyltransferase (cytosine-specific)",0.000290921,0.000270027,0.004406417,0.70089388,0.907693221,0.045275165,0.012941436,0.968530312,0.986237241,0.000315019
"21","HVO_C0038 [D4H0C6] conserved hypothetical protein",0.441630254,0.311223503,0.469620831,0.829641625,0.928184885,0.799330013,0.892414686,0.927086983,0.957237858,0.459349289
"22","HVO_C0029 [D4H0B7] PIN domain protein",0.399358429,0.001891538,0.036896029,0.814459913,0.941527371,0.748594846,0.864228475,1,0.959532994,0.252902475
"23","HVO_C0028 [D4H0B6] conserved hypothetical protein",0.295943709,0.027729061,0.051763036,0.892685594,0.964920782,0.834355123,0.894069246,0.945992053,0.973753123,0.202764264
"24","HVO_C0018 [D4H0A8] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"25","HVO_C0017 [D4H0A7] (parA1) ParA domain protein",0.253456221,0.743655423,0.746239774,0.027889628,0.824609132,0.157422436,0.910277103,0.004432964,0.987435112,0.643549149
"26","HVO_C0012 [D4H0A3] conserved hypothetical protein",0.230690568,0.465807457,0.433129114,0.767987419,0.924174329,0.793493127,0.871771875,0.919517257,0.95521298,0.474970524
"27","HVO_C0011 [D4H0A2] hypothetical protein",0.490403365,0.495897275,0.525651952,0.870318181,0.925656126,0.835476334,0.91016636,0.940128062,0.961997667,0.436134454
"28","HVO_C0006 [D4H097] UPF0395 family protein",0.234734077,0.319009041,0.485925883,0.882021279,0.967827914,0.872476724,0.907363534,0.960206238,0.959063233,0.296805869
"29","HVO_C0002 [D4H093] conserved hypothetical protein",0.094699408,0.518886533,0.415931951,0.172949589,0.936837223,0.225331271,0.886381368,0.749504358,0.960608139,0.498620741
"30","HVO_C0001 [D4H092] (orc10) Orc1-type DNA replication protein",0.759759566,0.63011708,0.744181141,0.959049353,0.977007576,0.768361924,0.816934574,0.978608969,0.993682394,0.410007645
"31","HVO_B0382 [D4GQ28] (tbp3) TATA-binding transcription initiation factor",0.000290921,0.000270027,0.000314563,0.562819231,0.934088152,0.001299785,0.002611017,0.959311143,0.9273246,0.000315019
"32","HVO_B0378 [D4GQ24] probable PPOX family oxidoreductase",0.090216133,0.096109759,0.151122125,0.878739481,0.949077863,0.815316428,0.7764708,0.94564426,0.945657222,0.333069083
"33","HVO_B0376 [D4GQ22] probable oxidoreductase (aldo-keto reductase family protein)",0.000290921,0.000270027,0.000314563,0.001899474,0.992097074,0.183226204,0.95184759,0.989354889,0.966325863,0.000315019
"34","HVO_B0375 [D4GQ21] Spo0M family protein",0.000290921,0.000270027,0.000314563,0.639855005,0.947179494,0.635106884,0.842412926,0.96677024,0.978815223,0.000315019
"35","HVO_B0372 [D4GQ19] conserved hypothetical protein",1,1,1,1,1,1,1,1,1,1
"36","HVO_B0371 [D4GQ18] (aldH1) aldehyde dehydrogenase",0.000290921,0.000270027,0.000314563,0.81219221,0.908371728,0.146156915,0.702695909,0.976283525,0.988979164,0.000315019
"37","HVO_B0369 [D4GQ16] ABC-type transport system periplasmic substrate-binding protein (probable substrate molybdate)",1,1,1,0.825810818,1,0.806089601,0.877061475,0.932145637,0.958852681,1
"38","HVO_B0358 [D4GQ05] conserved hypothetical protein",0.441959861,0.214745126,0.458989177,0.791017001,0.912120962,0.734466822,0.829589624,0.927536584,0.961900034,0.240907916
"39","HVO_B0357 [D4GQ04] polyamine aminopropyltransferase",1,1,1,1,1,1,1,1,1,1
"40","HVO_B0354 [D4GQ01] conserved hypothetical protein",0.000290921,0.000270027,0.000314563,0.933133864,0.306216984,0.897094433,0.9387858,0.973013352,0.982157292,0.000315019
"41","HVO_B0353 [D4GQ00] probable carbon-nitrogen hydrolase",0.023359524,0.055266149,0.106712485,0.85889134,0.709561663,0.674451379,0.91808968,0.923676197,0.969923836,0.000315019
"42","HVO_B0352 [D4GPZ9] cupin 2 barrel domain protein",0.086633663,0.10459797,0.220919166,0.919807978,0.958306099,0.744218255,0.848882811,0.960923858,0.97253632,0.112595105
"43","HVO_B0347 [D4GPZ4] GFO family oxidoreductase",0.175172541,0.288024541,0.309872809,0.847882546,0.911796537,0.826945056,0.905879562,0.938213854,0.963574021,0.413971315
"44","HVO_B0346 [D4GPZ3] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.430112665,0.38225879,0.395472311,0.836897443,0.931064493,0.796102662,0.879347442,0.911273743,0.964315555,0.356014723
"45","HVO_B0345 [D4GPZ2] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.114795369,0.001891538,0.000314563,0.836349086,0.930203065,0.37796361,0.756690628,0.932650022,0.980702622,0.076278381
"46","HVO_B0344 [D4GPZ1] UspA domain protein",1,1,0.27307548,1,0.853689127,1,0.877493076,1,0.979143053,0.115468681
"47","HVO_B0343 [D4GPZ0] (lplD) alpha-galacturonidase",1,1,1,1,1,1,1,1,1,1
"48","HVO_B0333 [D4GPY0] GFO family oxidoreductase",0.434057466,0.000270117,0.129367523,0.794888598,0.777300673,0.798473108,0.88131601,0.901286137,0.967565641,0.268487449
"49","HVO_B0331 [D4GPX8] (dppD15) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",1,1,1,1,1,1,1,1,1,1
"50","HVO_B0325 [D4GPX2] glycoside hydrolase domain protein",1,1,1,1,0.925564311,1,1,1,1,1
"51","HVO_B0324 [D4GPX1] conserved hypothetical protein",0.000290921,0.000270027,0.000314563,0.629925212,0.804628371,0.887231423,0.946604189,0.892244816,0.989248304,0.000315019
"52","HVO_B0321 [D4GPW8] GFO family oxidoreductase",0.008741259,0.004055349,0.096839795,0.489909682,0.899748099,0.533669434,0.940229628,0.968866264,0.972096092,0.000315019
