"Protein.ID","Fold_Change_Averages"
"HVO_0018 [D4GYL3] DUF2391 family protein",0
"HVO_0050 [D4GYP5] hypothetical protein",0
"HVO_0086 [D4GYT1] (amt2) transport protein (probable substrate ammonium)",0
"HVO_0181 [D4GZC5] conserved hypothetical protein",0
"HVO_0272 [D4GZQ2] homolog to HGPV1-ORF5",0
"HVO_0275 [D4GSU1] ISH5-type transposase ISHvo11_NumberOfIdenticalSequences_2<|>HVO_0276 [D4GQA9] ISH5-type transposase ISHvo11_NumberOfIdenticalSequences_3<|>HVO_0924 [D4GQ39] ISH5-type transposase ISHvo11_NumberOfIdenticalSequences_4<|>HVO_1518 [-] ISH5-type transposase ISHvo11 (nonfunctional)<|>HVO_2051 [D4GU64] ISH5-type transposase ISHvo11<|>HVO_A0144 [D4GQH3] ISH5-type transposase ISHvo11<|>HVO_A0431 [D4GR97] ISH5-type transposase ISHvo11<|>HVO_B0157 [D4GPF9] ISH5-type transposase ISHvo11<|>HVO_C0053 [D4H0E0] ISH5-type transposase ISHvo11",0
"HVO_0275 [D4GSU1] ISH5-type transposase ISHvo11_NumberOfIdenticalSequences_2<|>HVO_0276 [D4GQA9] ISH5-type transposase ISHvo11_NumberOfIdenticalSequences_3<|>HVO_0924 [D4GQ39] ISH5-type transposase ISHvo11_NumberOfIdenticalSequences_4<|>HVO_2051 [D4GU64] ISH5-type transposase ISHvo11<|>HVO_A0144 [D4GQH3] ISH5-type transposase ISHvo11<|>HVO_A0431 [D4GR97] ISH5-type transposase ISHvo11<|>HVO_B0157 [D4GPF9] ISH5-type transposase ISHvo11<|>HVO_C0053 [D4H0E0] ISH5-type transposase ISHvo11",0
"HVO_0349 [D4GZX6] (rpoA1) DNA-directed RNA polymerase subunit A'<|>HVO_0634 [D4GSN9] (orc2) Orc1-type DNA replication protein",0
"HVO_0358 [D4GZY5] (hom1) homoserine dehydrogenase<|>HVO_0601 [D4GSJ6] (hom2) homoserine dehydrogenase<|>HVO_1629 [D4GZ58] conserved hypothetical protein",0
"HVO_0370 [D4GZZ6] hypothetical protein",0
"HVO_0377 [D4H003] conserved hypothetical protein",0
"HVO_0419 [D4GRW0] M20 family amidohydrolase (homolog to succinyl-diaminopimelate desuccinylase)",0
"HVO_0443 [D4GRY4] UPF0215 family protein",0
"HVO_0463 [-] spurious ORF",0
"HVO_0471 [D4GS11] conserved hypothetical protein",0
"HVO_0548 [D4GSE5] (nhaC1) probable NhaC-type sodium/proton antiporter",0
"HVO_0563 [D4GSF8] (malF) ABC-type transport system permease protein (probable substrate maltose)",0
"HVO_0593 [D4GSI8] (cobD2) L-threonine-O-3-phosphate decarboxylase",0
"HVO_0623 [D4GSL9] MoaD family protein",0
"HVO_0625 [D4GSM1] DMT superfamily transport protein",0
"HVO_0660 [D4GSS0] Yip1 domain protein",0
"HVO_0753 [D4GTP4] conserved hypothetical protein",0
"HVO_0765 [D4GTR2] FAD-dependent oxidoreductase",0
"HVO_0791 [D4GU22] (ogt2) probable methylated-DNA--protein-cysteine methyltransferase",0
"HVO_0799 [D4GUA1] conserved hypothetical protein",0
"HVO_0854 [D4GUK1] (rad50) DNA double-strand break repair ATPase Rad50<|>HVO_1278 [D4GXA4] conserved hypothetical protein",0
"HVO_0906 [D4GUY4] conserved hypothetical protein",0
"HVO_1046 [D4GVM2] conserved hypothetical protein",0
"HVO_1056 [D4GVN4] (trkH1) Trk-type transport system (probable substrate potassium)",0
"HVO_1070 [D4GVQ8] ArsR family transcription regulator",0
"HVO_1078 [-] homolog to sulfate adenylyltransferase small subunit (nonfunctional)<|>HVO_1079 [D4GVS4] homolog to sulfate adenylyltransferase small subunit",0
"HVO_1116 [D4GW55] HTH domain protein",0
"HVO_1158 [D4GWC5] conserved hypothetical protein",0
"HVO_1195 [D4GWV4] (livG2) ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)",0
"HVO_1214 [D4GWY7] (arlF) arl cluster protein ArlF",0
"HVO_1245 [D4GX47] thioredoxin domain protein<|>decoy_HVO_1940 [D4GTG9] (mutS1a) DNA mismatch repair protein MutS",0
"HVO_1275 [D4GX98] UPF0047 family protein",0
"HVO_1329 [D4GXJ5] probable S-adenosylmethionine-dependent methyltransferase",0
"HVO_1336 [D4GXK7] (rpe) rpa-associated phosphoesterase",0
"HVO_1364 [D4GXQ7] DUF4341/DUF395 family protein",0
"HVO_1404 [D4GXX7] conserved hypothetical protein",0
"HVO_1418 [-] (mc1A) nonhistone chromosomal protein (nonfunctional)",0
"HVO_1432 [D4GY28] homolog to virus structural protein HRPV1-VP3",0
"HVO_1433 [D4GY29] homolog to pHK2-ORF2",0
"HVO_1445 [D4GY52] conserved hypothetical protein",0
"HVO_1460 [D4GY82] (fadA2) enoyl-CoA hydratase<|>HVO_A0605 [D4GRR4] F420-dependent NADP oxidoreductase family protein",0
"HVO_1533 [D4GYH7] small CPxCG-related zinc finger protein",0
"HVO_1612 [D4GZ41] DUF3179 family protein",0
"HVO_1635 [D4GZ64] conserved hypothetical protein",0
"HVO_1748 [D4H087] tetratricopeptide repeat protein (nonfunctional)",0
"HVO_1769 [D4GS94] (dppF3) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0
"HVO_1839 [D4GSU3] XerC/D-like integrase",0
"HVO_1873 [D4GSX6] conserved hypothetical protein",0
"HVO_1880 [D4GSY2] conserved hypothetical protein<|>HVO_2486 [D4GTB5] (pccA) propionyl-CoA carboxylase biotin carboxylase component<|>decoy_HVO_A0330 [D4GR07] GFO family oxidoreductase<|>decoy_HVO_A0562 [D4GRM3] (hutU) urocanate hydratase",0
"HVO_1922 [D4GTF1] DUF1486 family protein",0
"HVO_1980 [D4GTK9] DMT superfamily transport protein",0
"HVO_1984 [D4GTL3] (aceA) isocitrate lyase",0
"HVO_2044 [D4GU58] (I-endH) intein-related probable LAGLIDADG endonuclease I-EndH",0
"HVO_2076 [D4GU88] probable secreted glycoprotein (nonfunctional)",0
"HVO_2106 [D4GUQ3] DeoC family aldolase",0
"HVO_2135 [D4GUT2] conserved hypothetical protein",0
"HVO_2141 [D4GUT8] (nirK) nitrite reductase, copper-containing",0
"HVO_2144 [D4GUU1] (ahbD) coproheme decarboxylase AhbD",0
"HVO_2178 [D4GVB1] ubiquitin-like protein",0
"HVO_2179 [D4GVB2] conserved hypothetical protein",0
"HVO_2308 [D4GWE0] conserved hypothetical protein",0
"HVO_2385 [D4GWN3] (pilB5) type IV pilus biogenesis complex ATPase subunit",0
"HVO_2399 [D4GWP6] (znuB1) ABC-type transport system permease protein (probable substrate zinc)",0
"HVO_2430 [D4GSN5] ABC-type transport system ATP-binding protein (probable substrate glutamine/glutamate/polar amino acids)<|>HVO_A0281 [D4GQV8] (tsgD5) ABC-type transport system ATP-binding protein (probable substrate sugar)<|>HVO_B0038 [D4GP39] (tsgD7) ABC-type transport system ATP-binding protein (probable substrate sugar)",0
"HVO_2437 [D4GSQ5] conserved hypothetical protein",0
"HVO_2443 [D4GT10] (dppD5) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0
"HVO_2455 [P52563] (trpF) N-(5'-phosphoribosyl)anthranilate isomerase",0
"HVO_2478 [D4GT89] (dpd) putative dihydropyrimidine dehydrogenase",0
"HVO_2492 [D4GTP2] conserved hypothetical protein",0
"HVO_2595 [D4GUA9] (oadhA2) 2-oxoacid dehydrogenase E1 component alpha subunit",0
"HVO_2649 [D4GV04] conserved hypothetical protein",0
"HVO_2730 [D4GW61] (etfB2) electron transfer flavoprotein beta subunit",0
"HVO_2765 [D4GWU5] (dppC6) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0
"HVO_2843 [D4GXC1] (phr1) deoxyribodipyrimidine photo-lyase",0
"HVO_2892 [-] spurious ORF",0
"HVO_2894 [D4GXN0] HTH-10 family transcription regulator",0
"HVO_2913 [Q03301] (sod2) superoxide dismutase (Mn)",0
"HVO_2935 [D4GXW8] conserved hypothetical protein",0
"HVO_2986 [D4GY70] (hisB) imidazoleglycerol-phosphate dehydratase",0
"HVO_A0027 [D4GQ59] HTH domain protein",0
"HVO_A0028 [D4GQ60] conserved hypothetical protein",0
"HVO_A0061 [D4GQ93] SWIM zinc finger domain protein",0
"HVO_A0078 [D4GQB0] SNF2/RAD54 helicase domain protein (nonfunctional)",0
"HVO_A0115 [D4GQE7] conserved hypothetical protein",0
"HVO_A0123 [D4GQF5] conserved hypothetical protein<|>HVO_A0411 [D4GR75] conserved hypothetical protein",0
"HVO_A0127 [D4GQF8] (trpS2) tryptophan--tRNA ligase",0
"HVO_A0141 [D4GQH0] conserved hypothetical protein",0
"HVO_A0147 [D4GQH6] (tsgC4) ABC-type transport system permease protein (probable substrate sugar)",0
"HVO_A0177 [D4GQK6] ABC-type transport system ATP-binding protein",0
"HVO_A0225 [D4GQQ4] FemAB family protein",0
"HVO_A0227 [D4GQQ6] hypothetical protein",0
"HVO_A0239 [-] spurious ORF",0
"HVO_A0295_A [D4GQX3] luciferase family protein",0
"HVO_A0297 [D4GQX5] ABC-type transport system permease protein",0
"HVO_A0298 [D4GQX6] probable oxidoreductase (short-chain dehydrogenase family)",0
"HVO_A0311 [D4GQY8] probable halocin (homolog to halocin C8)",0
"HVO_A0330 [D4GR07] GFO family oxidoreductase",0
"HVO_A0356 [-] conserved hypothetical protein (nonfunctional)",0
"HVO_A0372 [D4GR41] beta-lactamase domain protein",0
"HVO_A0417 [D4GR81] conserved hypothetical protein",0
