"Protein.ID","Fold_Change_Averages"
"HVO_A0333 [D4GR10] SprT family protein",10.6603072124455
"HVO_1942 [D4GTH1] conserved hypothetical protein",10.5597980673617
"HVO_1971 [D4GTK0] (pgsA4) CDP-alcohol 1-archaetidyltransferase",10.5236812910633
"HVO_2020 [D4GU33] DUF502 family protein<|>HVO_2959 [D4GY17] (oadhB1) 2-oxo-3-methylvalerate dehydrogenase E1 component beta subunit<|>decoy_HVO_3009 [D4GYB9] UspA domain protein",8.67732148462655
"HVO_1757 [D4GS82] DoxX domain protein",8.48352311439278
"HVO_1994 [D4GTM2] conserved hypothetical protein",8.14435396933515
"HVO_B0224 [D4GPM5] cupin 2 barrel domain protein",7.613464263
"HVO_2147 [D4GUU4] homolog to nitric oxide reductase subunit B",7.24349586016677
"HVO_0961 [D4GV68] chimeric protein (nonfunctional)",7.09104139094898
"HVO_B0230 [D4GPN1] (tsgC9) ABC-type transport system permease protein (probable substrate sugar)",7.05118636538548
"HVO_B0364 [D4GQ11] (dmsB) dimethylsulfoxide reductase subunit B",7.00787776897616
"HVO_0784 [D4GU09] Abi/CAAX domain protein",6.71260218641548
"HVO_1228 [D4GX08] (hcpE) DUF5059 domain / halocyanin domain protein<|>HVO_2231 [D4GVU7] probable oxidoreductase (aldo-keto reductase family protein)",6.59055034291008
"HVO_A0006 [D4GQ38] adenine specific DNA methyltransferase (nonfunctional)",6.43574058
"HVO_B0054 [D4GP56] (cbiX1) sirohydrochlorin cobaltochelatase",6.33184852520037
"HVO_2386 [D4GWN4] (pilC5) type IV pilus biogenesis complex membrane subunit",6.13322990630116
"HVO_0805 [D4GUB4] conserved hypothetical protein",6.1007172330133
"HVO_B0007 [D4GP08] HTH-10 family transcription regulator",5.973277301
"HVO_1082 [Q8NKQ2] (pyrE1) homolog to orotate phosphoribosyltransferase<|>decoy_HVO_0349 [D4GZX6] (rpoA1) DNA-directed RNA polymerase subunit A'",5.78736648382953
"HVO_1218 [D4GWZ2] (arlJ) archaellar motor/biogenesis protein ArlJ",5.58555125821007
"HVO_1697 [D4H042] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)<|>HVO_2670 [D4GV46] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)<|>HVO_A0088 [D4GQC0] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)<|>HVO_B0203 [D4GPK4] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)<|>HVO_B0265 [D4GPR2] FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)",5.3734422518324
"HVO_A0438 [D4GRA4] conserved hypothetical protein",5.30448259233333
"HVO_B0234B [L9VJ13] conserved hypothetical protein",5.28509785831368
"HVO_2561 [D4GTZ3] (rpl2) 50S ribosomal protein L2<|>decoy_HVO_2561 [D4GTZ3] (rpl2) 50S ribosomal protein L2",5.0812382455717
"HVO_1269 [D4GX85] conserved hypothetical protein (nonfunctional)",5.02846290455139
"HVO_0201 [D4GZE6] GNAT family acetyltransferase",5.000457446
"HVO_B0316 [D4GPW3] (tsgD13) ABC-type transport system ATP-binding protein (substrate glucose)",4.98197437502819
"HVO_0816 [D4GUD6] probable phosphoesterase",4.84979916718744
"HVO_2859 [D4GXF7] DUF63 family protein",4.81328692738022
"HVO_2902 [D4GXP9] (gatE) glutamyl-tRNA(Gln) amidotransferase subunit E<|>HVO_A0074 [D4GQA6] AAA-type ATPase domain protein",4.60838195623078
